app,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
TestDfft,0.3409011775789474,-0.44584705589473683,0.8472392889473683,0.049840328421052675,-0.06817331052631576,0.23590875,-0.8047154606842104,0.5901111847368421,-0.2264168756842105,-0.2469549463157895,0.467199,0.6581974,-0.94372,-0.8901204,0.22880603,0.23110394736842105,5388707612.592105,5357268493.145662,3242184655.4583335,29208757036.81579,833035151.5004225,987282991.0258216,235654251.81643194,204913244.54413146,1575.4880771929825,819720977.0482457,1353566234.7061403,214133.56513157894,9.710526315804527e+17,12513684204.623138,9.560950977333333,,,,4.305286044298246
XSBench,0.3882310242521008,-0.5453050152941176,0.7987344055462184,0.13717670697478995,-0.33392363983193274,-0.024047210420168073,-0.9421403173109244,0.33341216882352936,-0.26604230789915967,-0.24046629201680672,-0.79015344,1.5101848,0.010079744,-0.8358002,-1.1222383,1.696747899159664,12116005938.455084,13073422779.286442,6207603314.064406,50482451283.368645,809926371.3508474,957953174.0518644,545777313.4344915,46845213.79932203,-0.19327731092436976,1121761746.4934745,9629308586.025051,0.0,35.46218487394958,7952937734.707288,17.133372286058822,,,,84.67150198487396
amg,0.3314840523823529,-0.37034964402941173,0.9780473245588235,0.11536872088235298,0.21255820264705885,0.3994629811764706,-0.7474456772205882,0.8503108122058823,-0.08034135038235295,-0.36499606588235295,0.023395298,0.5395609,0.020928431,0.087905176,-1.1187645,1.284526470588235,8042545412.95283,17385704331.71698,3390751778.1320753,39581400289.886795,320825246.56186044,47494420.435879305,53528591.62063792,8312431.919086207,258.41088202941177,713369339.9305295,1980248918.101191,111814.03393660377,2.8962264151065517e+17,4705988096.924528,19.112653050056604,,,,79.6588947726415
comd,0.3499751605,-0.3487289385,0.8639071675,0.05217439500000003,0.31390870500000007,0.6313122800000001,-0.55056983775,0.8362784575,-0.4061624265,-0.17176612,0.558325,1.0046077,-0.2266419,-0.7465109,-0.70188016,0.055916071428571426,181533508.14395833,417509154.1465488,152420060.27579415,1196437646.240909,11182504.68806073,4333271.163443774,694487.5471481482,246914.465,88675.92854464285,173014409.7309091,58024864.25490909,189186.00436380954,631289.2430238095,100696512.78607309,0.4033943265238095,,0.16666667,16855.5246894,2.6183199654761906
cosmoflow,0.3499751605,-0.3487289385,0.8639071675,0.05217439500000003,0.31390870500000007,0.6313122800000001,-0.55056983775,0.8362784575,-0.4061624265,-0.17176612,0.08231536000000002,-1.3245479,-0.93578035,1.1858138,1.0081301,0.06515,352166207.5854167,821733089.292487,299028219.8745833,2335604302.84375,21964897.09415155,7568697.130994778,1321460.66,528252.4200925926,174730.46014285713,336250435.9392857,88640712.50377358,116197.43824540541,666250.7266756756,206319651.83708423,0.8996531911891892,,,,2.6932116705405407
deepcam,0.3491479267157895,-0.34969618058947366,0.8690134376842106,0.0550015095789474,0.3093746035789474,0.6209400745263158,-0.5593774410947367,0.8369062207368422,-0.3915862204631579,-0.18041061757894736,-0.88913137,0.811834,-0.102096185,0.8796603699999999,-0.08469703000000002,0.7111936842105263,18029431963.08963,46880251664.405945,16792132807.337532,128289050699.13652,1228108944.3081527,297099391.6986413,73571241.07772826,40833454.966108695,10780115.529894738,21835050506.08889,5961646658.786315,197752.23784346666,608624.3648399999,10483242686.098705,47.905376093293334,,,,5.1728636906666665
kripke.exe,0.35950620899999997,-0.437291359,0.8757184233333334,0.10874564666666671,0.011828633333333357,0.2818294733333333,-0.7791861585,0.6332596183333333,-0.237678731,-0.26573677166666665,0.88028747,-0.7807031,-0.7840459,0.34938535,-0.12727624,0.08504396825396826,175063043.71412697,455595190.240131,156190717.4684127,1164835447.6460319,13568875.492666667,11746056.331619048,705115.1239539683,1826902.1998809522,339.5886673974603,119810355.77015872,51778504.43619048,241679.09467952378,1.0250000000012204e+18,235278161.9924127,0.4180880656380952,,,,4.684550046
laghos,0.3353260687218345,-0.42913601076370883,0.839281469122632,0.02671525156530413,-0.021002545024925198,0.2995017743868395,-0.7622433668733799,0.6238670396011964,-0.2591783998444666,-0.22383473727816552,-0.2599274,0.06426973,0.84403133,-0.3000777,1.0073826,2.1631595214356927,50476303272.42273,167302988243.91125,59946549259.58524,454837771132.3031,2144597696.475549,1395018973.3717566,172973171.40013972,120127055.1761477,35035204.715925224,126654066656.59413,64481017929.61316,270282.0898075773,2028590.5491924225,34938735148.24526,82.03265510016949,4595582.0,,,47.756915884945165
miniFE.x,0.18307173809638555,-0.26101266920481925,0.7328013982329318,-0.4242640319277108,0.22550677662650606,0.7676973835341365,-0.46681504465060236,0.9217322320883534,-0.3709071019598394,-0.021282545180722885,0.50231886,0.0042009237,0.52139026,1.5663863,-1.8096999,0.2192425702811245,6931370715.8,17276224235.6,1320506982.85,47548522036.05,818516507.66,28402802.18875502,162061747.16465864,1590330.5880722892,6.008220381526105,2016681648.196787,3829601798.235341,288807.40115,1.5067500000000538e+18,8478265550.5,7.39822151645,,,,8.8048684595
miniVite,0.3394333902857143,-0.4465176795238095,0.9895300695238095,0.16461067857142864,-0.04757412666666664,0.09714617904761905,-0.9457462835714285,0.6764617161904761,0.0679520680952381,-0.4478426952380953,-0.13024272,-1.7642148999999998,-0.892983,-0.040343147,0.6485981,0.05360568783068783,11740605.63111557,13575326.340059683,3227305.193176944,38556516.442691386,18465.187250996016,-0.23809523809523808,-0.23809523809523808,-0.23809523809523808,-0.13388380035449735,257774.48369046298,491863.4452792328,103195.9728315344,51855.79204870106,84032.33518169583,0.11013909470406733,,,,3.199353187377279
minigan,0.3499751605,-0.3487289385,0.8639071675,0.05217439500000003,0.31390870500000007,0.6313122800000001,-0.55056983775,0.8362784575,-0.4061624265,-0.17176612,-0.44600302,-0.17232466,-1.3012141,1.9598572,1.6879143000000003,0.072,510884422.8876087,1228903806.1613152,434833401.8237282,3446566114.9717393,31248264.785966367,10906491.162400002,1816498.1244709091,809680.449290909,263299.8528178571,525918917.5044445,146576225.99818182,188866.12978761905,631274.8267142856,266234317.7030562,1.1615924102380952,,,,2.9085504738095236
miniqmc,0.3499751605,-0.3487289385,0.8639071675,0.05217439500000003,0.31390870500000007,0.6313122800000001,-0.55056983775,0.8362784575,-0.4061624265,-0.17176612,2.0094004,0.91733855,-0.44524473000000003,-0.7951189,-0.33516297,0.07765535714285714,675294124.7208511,1639587873.6387517,582175393.621526,4570102946.378654,42022956.11559046,13634475.591294305,2321554.7105768705,1098372.7996481482,349441.0809089286,685379880.7836363,208906833.68727273,193616.7330065116,1.430232558145701e+17,346304454.14762074,1.5363247473488373,,,,3.206745
minitri,0.3499751605,-0.3487289385,0.8639071675,0.05217439500000003,0.31390870500000007,0.6313122800000001,-0.55056983775,0.8362784575,-0.4061624265,-0.17176612,0.19236541,0.41485247,-0.075733885,0.94409364,1.385801,0.07735892857142856,821931865.705306,1997830062.834783,711673878.4818368,5555237043.410204,52444701.97470886,16382542.544659913,2939107.553148148,1356755.1975740741,440517.70836785715,880266900.9462962,278868054.14629626,194024.45537860467,1.4302325581457013e+17,430934485.5540623,1.9160207978372092,,,,2.710816401162791
sw4lite,0.36086728258461537,-0.5384744076615384,0.9401341743076923,0.19598110907692312,-0.3459335550769231,-0.18452229107692308,-1.1049453848769228,0.43041654646153843,0.08511487843076923,-0.45103868784615386,0.81064796,-0.48096338,-0.08567746,-0.4736299,-1.0859207,8.672278461538461,125515872706.69615,751933729177.0012,83012240421.15262,1847708923622.3933,10918134323.292307,1508732061.6615384,2259539263.4270773,543727933.3026615,465.8559427056923,18697304227.268223,10410612859.843206,112355.15445292307,942221.8454923077,226788620176.0,489.52019887790766,,,,30.816509985538463
