machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp
ruby,lulesh2.0,1,89607142.86,129785714.3,15000000,326839285.7,0,0,0,0,0,7880.053571,14428023.85,1596697.696,938.7232143,19688.72321,12392857.14,2.006024096
ruby,lulesh2.0,1,135303571.4,194857142.9,21714285.71,489642857.1,0,17857.14286,0,0,0,8476.098214,16164062.42,2054921.17,938.7142857,19688.69643,11857142.86,1
ruby,lulesh2.0,1,157285714.3,228160714.3,26053571.43,573375000,0,17857.14286,0,0,0,11420.4375,21368287.56,2605353.179,938.7232143,19688.71429,20375000,1.501501502
ruby,lulesh2.0,1,3753125000,5722982143,743607142.9,14413857143,23714285.71,14000000,1732142.857,178571.4286,0,447842.9911,923562974.6,112409884.5,938.7232143,19688.72321,675821428.6,1.071581655
ruby,lulesh2.0,1,3895142857,5948785714,776750000,14988196429,24714285.71,14232142.86,1803571.429,196428.5714,0,475332.0268,985671100.3,116074916.5,938.7232143,19688.71429,785000000,1.214316331
ruby,lulesh2.0,1,3953250000,6068625000,799982142.9,15291107143,26375000,16071428.57,1821428.571,214285.7143,0,503566.2679,1036285270,124630133.8,938.7232143,19688.72321,772767857.1,1.1332
ruby,lulesh2.0,1,4070446429,6264964286,831839285.7,15793321429,28107142.86,16214285.71,1892857.143,339285.7143,0,533252.7679,1077474857,130090709.3,938.7321429,19688.71429,813017857.1,1.285897985
ruby,lulesh2.0,1,4887321429,7422017857,953267857.1,18692982143,37089285.71,18053571.43,1946428.571,303571.4286,0,563871.6161,1126975207,137064967.6,938.7232143,19688.71429,875964285.7,1.058948112
ruby,lulesh2.0,1,4914517857,7502267857,975035714.3,18899017857,32553571.43,18071428.57,1892857.143,785714.2857,0,595454.3393,1184822412,149555324,938.7232143,19688.71429,1030482143,1.11754324
ruby,lulesh2.0,1,4767964286,7341982143,975000000,18508035714,34142857.14,19660714.29,1982142.857,732142.8571,0,628542.2589,1251816772,152597602.1,938.7232143,19688.71429,1063571429,1.235439463
ruby,lulesh2.0,1,5369589286,8209750000,1072732143,20681464286,34553571.43,20321428.57,1946428.571,2017857.143,0,662868.0536,1314172347,160487397.9,938.7232143,19688.72321,1121982143,1.157927985
ruby,lulesh2.0,1,5212178571,8041303571,1072071429,20272232143,36196428.57,21892857.14,2017857.143,1928571.429,0,698342.8036,1389291579,173340694.4,938.7232143,19688.72321,1167535714,1.210675932
ruby,lulesh2.0,1,5893732143,9022839286,1179892857,22730660714,38892857.14,22410714.29,2178571.429,2160714.286,0,734919.5982,1464167056,181539986.6,938.7232143,19688.72321,1112642857,1.095142857
ruby,lulesh2.0,1,5976750000,9183607143,1212839286,23142767857,41428571.43,24446428.57,2821428.571,2250000,0,773014.8929,1535392648,186043448.8,938.7232143,19688.71429,1387910714,1.091107474
ruby,lulesh2.0,1,2028035714,3075910714,395785714.3,7747053571,12696428.57,6071428.571,17857.14286,89285.71429,0,229752.4554,489572121,56642899.6,938.7232143,19688.71429,333410714.3,1
