machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,machine1
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,2426000000,3356000000,968000000,11516000000,32000000,12000000,0,0,1556948,1461157400,1076277800,37771,2190229,116000000,16.332,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,2426000000,3356000000,968000000,11516000000,32000000,12000000,0,0,1556449,1460442900,1077872400,37771,2190229,116000000,13.332,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,2792000000,3862000000,1114000000,13250000000,26000000,16000000,0,0,1789740,1680159200,1238203100,37771,2193037,140000000,10.25976,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,2792000000,3862000000,1108000000,13250000000,38000000,14000000,0,0,1790082,1681196800,1238368900,37771,2193037,136000000,10.25976,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,3154000000,4360000000,1258000000,14964000000,30000000,16000000,0,0,2021762,1896564600,1396403700,37771,2195719,150000000,10.51051,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,3152000000,4358000000,1258000000,14960000000,30000000,18000000,0,0,2022435,1897379700,1397572100,37771,2195719,142000000,10.25976,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,3434000000,4746000000,1368000000,16294000000,36000000,18000000,0,0,2202499,2065152500,1520600600,37771,2197853,170000000,10.75976,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,3434000000,4746000000,1368000000,16292000000,32000000,20000000,0,0,2202362,2065422000,1520506000,37771,2197855,172000000,10.75976,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,3640000000,5040000000,1452000000,17290000000,42000000,18000000,2000000,0,2337750,2193318000,1615712500,37771,2199440,180000000,11.01051,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,3644000000,5036000000,1450000000,17290000000,34000000,18000000,0,0,2338564,2191995100,1614181100,37771,2199439,178000000,8.803122,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,3788000000,5244000000,1512000000,17994000000,50000000,20000000,0,0,2430175,2282039300,1680659600,37771,2200601,186000000,13.513514,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,3792000000,5244000000,1514000000,17998000000,44000000,20000000,2000000,0,2431784,2282041900,1681138700,37771,2200600,186000000,11.261261,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,8200000000,19434000000,6256000000,59954000000,202000000,160000000,6000000,4000000,3259234,11407388000,8376314400,37771,2205834,912000000,4.2733226,corona
quartz,0.41531262,0.8079886,1.2476676,0.93389076,0.8706516,0.8238732,1.2180394,-0.15215927,-0.67092264,1.0573508,-0.80555224,-1.2442333,-0.28433076,0.6020206,-0.64750105,1,8204000000,19430000000,6256000000,59958000000,202000000,164000000,6000000,4000000,3259806,11407505000,8373560000,37771,2205834,916000000,4.1822147,corona
