machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),duration_ratio_1_2
corona,kripke.exe,0.05,368000000.0,505673068.0,249521703.0,1522000000.0,27606868.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,546002.0,3059100.0,413824601.0,1.223244,1.332
corona,kripke.exe,0.0666,372000000.0,1.0,250963830.0,1532000000.0,27521481.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541418.0,3059100.0,430347959.0,1.447158,1.0
corona,kripke.exe,0.05,386000000.0,531127976.0,256204181.0,1576000000.0,27285378.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539838.0,3059100.0,481370928.0,1.276701,1.666
corona,kripke.exe,0.05,392000000.0,549287570.0,261080031.0,1604000000.0,28728781.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,544470.0,3059100.0,508902358.0,1.350956,2.0
corona,kripke.exe,0.0666,512000000.0,843438355.0,469433900.0,2410000000.0,85210703.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547498.0,3059100.0,1002611123.0,1.617484,0.7507507507507507
corona,kripke.exe,0.05,534000000.0,851256439.0,475876652.0,2500000000.0,88704345.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,542519.0,3059100.0,1064697977.0,1.61286,1.332
corona,kripke.exe,0.05,554000000.0,895770701.0,482940092.0,2568000000.0,86335207.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539862.0,3059100.0,1127874774.0,1.736201,1.0
corona,kripke.exe,0.0666,584000000.0,943323360.0,495079339.0,2660000000.0,87340394.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,544458.0,3059100.0,1247387402.0,1.822005,1.0
corona,kripke.exe,0.0666,616000000.0,1016199505.0,512324914.0,2786000000.0,90666558.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,544448.0,3059100.0,1376313557.0,1.983496,1.0
corona,kripke.exe,0.0666,700000000.0,1233887199.0,721355328.0,3452000000.0,148503451.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547498.0,3059100.0,2245814262.0,2.269776,1.2507507507507507
corona,kripke.exe,0.0666,728000000.0,1288809985.0,731895628.0,3546000000.0,144879200.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,545932.0,3059100.0,2400241321.0,2.424543,1.5015015015015014
corona,kripke.exe,0.0833,764000000.0,1373772258.0,754788289.0,3674000000.0,150516154.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,546002.0,3059100.0,2557868947.0,2.479705,1.0
corona,kripke.exe,0.0666,862000000.0,1549097249.0,788341408.0,4006000000.0,154495541.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538318.0,3059100.0,2911811390.0,2.736328,1.7507507507507505
corona,kripke.exe,0.0833,958000000.0,1725042859.0,825320349.0,4332000000.0,158260365.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547486.0,3059100.0,3204344942.0,2.93032,1.0
corona,kripke.exe,0.05,438000000.0,670477568.0,349583601.0,1942000000.0,53849241.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539838.0,3059100.0,641183709.0,1.388597,1.666
corona,kripke.exe,0.05,444000000.0,676638540.0,352878838.0,1972000000.0,55608636.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547486.0,3059100.0,677628995.0,1.372694,1.332
corona,kripke.exe,0.0666,450000000.0,677476976.0,352761888.0,1988000000.0,53785640.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538330.0,3059100.0,696944090.0,1.419045,1.5015015015015014
corona,kripke.exe,0.0666,470000000.0,720414496.0,362144189.0,2058000000.0,55170814.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547115.0,3059100.0,780769139.0,1.510184,1.2507507507507507
corona,kripke.exe,0.0666,482000000.0,743898273.0,369818239.0,2100000000.0,55172233.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539850.0,3059100.0,818230313.0,1.550371,2.252252252252252
corona,kripke.exe,0.0666,478000000.0,671270258.0,323867723.0,1964000000.0,45816012.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547488.0,3059100.0,823267925.0,1.521097,1.2507507507507507
corona,kripke.exe,0.05,486000000.0,684853857.0,330700133.0,2000000000.0,49767151.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,545932.0,3059100.0,870109430.0,1.545558,4.0
corona,kripke.exe,0.05,508000000.0,726176141.0,338210181.0,2068000000.0,47206816.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541382.0,3059100.0,947133718.0,1.627448,1.666
corona,kripke.exe,0.0666,536000000.0,784392982.0,351720714.0,2166000000.0,51836886.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541370.0,3059100.0,1023059721.0,1.756193,4.253753753753753
corona,kripke.exe,0.0666,556000000.0,847073618.0,367694417.0,2222000000.0,51663263.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539850.0,3059100.0,1207978753.0,1.796604,1.2507507507507507
corona,kripke.exe,0.0666,612000000.0,929182952.0,432996110.0,2480000000.0,73021601.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547500.0,3059100.0,1525569663.0,1.995036,0.7507507507507507
corona,kripke.exe,0.0666,644000000.0,996607051.0,445458707.0,2578000000.0,73795006.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539850.0,3059100.0,1631137921.0,2.056991,1.2507507507507507
corona,kripke.exe,0.0833,686000000.0,1079811494.0,464608122.0,2734000000.0,75424013.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541382.0,3059100.0,1821254761.0,2.133519,0.6002400960384154
corona,kripke.exe,0.0833,780000000.0,1257500337.0,497700681.0,3042000000.0,78550328.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539862.0,3059100.0,2178134031.0,2.439891,0.7995198079231693
corona,kripke.exe,0.0666,872000000.0,1428164285.0,535363387.0,3362000000.0,82826389.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541418.0,3059100.0,2535405109.0,2.642588,0.7507507507507507
corona,kripke.exe,0.05,414000000.0,576068898.0,274314235.0,1684000000.0,32434017.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,544458.0,3059100.0,571871450.0,1.335242,1.332
corona,kripke.exe,0.05,418000000.0,587215188.0,277344334.0,1704000000.0,34404556.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547498.0,3059100.0,580668397.0,1.336503,1.332
corona,kripke.exe,0.0666,426000000.0,599676482.0,279845646.0,1720000000.0,33473748.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,546002.0,3059100.0,615495641.0,1.396201,1.0
corona,kripke.exe,0.05,440000000.0,632623618.0,287669497.0,1780000000.0,33886095.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538318.0,3059100.0,683831513.0,1.431725,1.332
corona,kripke.exe,0.05,448000000.0,655485166.0,295074924.0,1824000000.0,35553595.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,544470.0,3059100.0,710116619.0,1.716966,1.666
corona,kripke.exe,0.0833,792000000.0,1222144804.0,538836767.0,3194000000.0,97177065.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539503.0,3059100.0,2053690210.0,2.379208,1.0
corona,kripke.exe,0.0666,814000000.0,1275019016.0,559641467.0,3294000000.0,109529001.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547500.0,3059100.0,2195577152.0,2.493036,1.5015015015015014
corona,kripke.exe,0.0833,862000000.0,1382127332.0,576568855.0,3420000000.0,99427543.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541418.0,3059100.0,2402575881.0,2.671659,1.0
corona,kripke.exe,0.0833,946000000.0,1534210395.0,610951701.0,3732000000.0,103425409.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547476.0,3059100.0,2714013419.0,3.021458,0.7995198079231693
corona,kripke.exe,0.0833,1042000000.0,1696212363.0,653240808.0,4062000000.0,111006667.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,545932.0,3059100.0,3118025869.0,3.353865,1.2004801920768309
corona,kripke.exe,0.0833,1166000000.0,1915629676.0,820051968.0,4654000000.0,6448774.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,546002.0,3059100.0,3901037351.0,3.456824,1.3997599039615847
corona,kripke.exe,0.1,1270000000.0,2098973369.0,851745504.0,4984000000.0,166613828.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547474.0,3059100.0,4205516877.0,3.938549,1.4999999999999998
corona,kripke.exe,0.1,1382000000.0,2294008035.0,900311516.0,5376000000.0,172976606.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538314.0,3059100.0,4681673949.0,4.151756,1.0
corona,kripke.exe,0.1,1622000000.0,2780555843.0,992901146.0,6182000000.0,175076366.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539838.0,3059100.0,5625177678.0,4.705673,1.8329999999999997
corona,kripke.exe,0.1333,1880000000.0,3241205571.0,1090854236.0,7058000000.0,193253608.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539850.0,3059100.0,6628127489.0,5.314817,0.7501875468867217
corona,kripke.exe,0.0666,644000000.0,983952511.0,408773805.0,2566000000.0,60473848.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547522.0,3059100.0,1366218098.0,1.906124,2.0015015015015014
corona,kripke.exe,0.0666,654000000.0,1009500324.0,418594366.0,2616000000.0,65530186.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547488.0,3059100.0,1422250461.0,1.993141,1.5015015015015014
corona,kripke.exe,0.0666,670000000.0,1030813799.0,423892147.0,2664000000.0,62147932.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539850.0,3059100.0,1489513973.0,2.085162,2.752252252252252
corona,kripke.exe,0.0666,714000000.0,1126157876.0,443708197.0,2808000000.0,64389242.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541382.0,3059100.0,1662189871.0,2.239534,1.2507507507507507
corona,kripke.exe,0.0666,748000000.0,1192966366.0,465555917.0,2938000000.0,67332976.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,542519.0,3059100.0,1792636060.0,2.383434,3.252252252252252
corona,kripke.exe,0.05,354000000.0,493846722.0,279894730.0,1574000000.0,39605521.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538314.0,3059100.0,399880059.0,1.212015,1.666
corona,kripke.exe,0.05,356000000.0,499089555.0,282694039.0,1584000000.0,41836132.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547476.0,3059100.0,412190679.0,1.203898,5.999999999999999
corona,kripke.exe,0.05,374000000.0,516175665.0,285882907.0,1666000000.0,40470503.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539850.0,3059100.0,444753894.0,1.231817,2.0
corona,kripke.exe,0.05,382000000.0,1.0,289134129.0,1696000000.0,41058085.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541382.0,3059100.0,481578408.0,1.2981,8.0
corona,kripke.exe,0.05,396000000.0,549908725.0,295014125.0,1736000000.0,42129217.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547522.0,3059100.0,532821366.0,1.304553,2.0
corona,kripke.exe,0.05,414000000.0,629778778.0,368388440.0,1922000000.0,60454345.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,542519.0,3059100.0,807397663.0,1.413302,1.0
corona,kripke.exe,0.0666,426000000.0,646638369.0,373582581.0,1956000000.0,61694035.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539850.0,3059100.0,855340261.0,1.442523,1.2507507507507507
corona,kripke.exe,0.0666,440000000.0,680455191.0,379862443.0,2004000000.0,60034469.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547486.0,3059100.0,904646058.0,1.51198,0.7507507507507507
corona,kripke.exe,0.05,466000000.0,726534966.0,389061481.0,2094000000.0,63707082.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547500.0,3059100.0,1012230627.0,1.635965,1.332
corona,kripke.exe,0.0666,502000000.0,788183537.0,402032727.0,2218000000.0,63144172.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547488.0,3059100.0,1149759432.0,1.638688,1.0
corona,kripke.exe,0.05,332000000.0,445901097.0,242795348.0,1424000000.0,29930675.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547115.0,3059100.0,274677923.0,1.118503,2.0
