machine,app,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),duration_ratio_1_2
corona,laghos,1.1,2000000.0,60708827865.0,17467309156.0,14000000.0,629285.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,536764.0,3109887.0,14366675665.0,51.95238,0.1969090909090909
corona,laghos,0.95,4000000.0,3992298.0,18027009193.0,6000000.0,836704458.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,542892.0,3111412.0,109938000000.0,53.803097,0.228
corona,laghos,0.9666,4000000.0,63027174375.0,17998595552.0,8000000.0,839068772.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547476.0,3111412.0,110525000000.0,53.490236,0.22408441961514586
corona,laghos,0.9833,4000000.0,65036779254.0,18451790073.0,12000000.0,890100378.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,544424.0,3112693.0,99086827021.0,54.73022,0.23726228007729078
corona,laghos,1.0,2000000.0,3923892.0,18510143675.0,6000000.0,6505.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,544424.0,3112693.0,112344000000.0,54.921762,0.2166
corona,laghos,1.0,6000000.0,3171747.0,19137534408.0,8000000.0,868107996.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538308.0,3113791.0,112813000000.0,55.938019,0.2166
corona,laghos,1.0166,4000000.0,65659178528.0,18735963127.0,4000000.0,917160959.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538296.0,3113791.0,114648000000.0,55.908819,0.2130631516820775
corona,laghos,1.0166,8000000.0,65940412436.0,19026047227.0,10000000.0,910549975.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541396.0,3114706.0,114329000000.0,57.0703,0.22949045839071416
corona,laghos,1.0,6000000.0,66757249004.0,19143726741.0,16000000.0,371717.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539481.0,3114706.0,116788000000.0,56.875534,0.6
corona,laghos,1.0333,4000000.0,68280496386.0,19511388640.0,8000000.0,2215398535.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539816.0,3115621.0,117957000000.0,57.521156,0.22578147682183294
corona,laghos,1.05,6000000.0,3953539.0,19369621333.0,4000000.0,1189478.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541396.0,3115621.0,117511000000.0,58.013196,0.6031428571428571
corona,laghos,1.0666,2000000.0,3916629.0,19645912000.0,6000000.0,872882839.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,542497.0,3116534.0,119134000000.0,58.543939,0.23438964935308457
corona,laghos,1.05,4000000.0,69274402146.0,19817886568.0,8000000.0,927539981.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547093.0,3116534.0,119333000000.0,58.899159,0.2221904761904762
corona,laghos,1.1166,4000000.0,74300629973.0,21522412343.0,18000000.0,961932779.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538296.0,3120257.0,118395000000.0,0.005002,0.20893784703564391
corona,laghos,1.1166,4000000.0,3844019.0,20963821167.0,10000000.0,3281677454.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541396.0,3120257.0,127854000000.0,62.779612,0.253716639799391
corona,laghos,1.4166,4000000.0,94217548989.0,26256933229.0,32000000.0,1141185595.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547476.0,3129753.0,165954000000.0,79.752442,0.16469010306367357
corona,laghos,1.4166,12000000.0,3991851.0,26269513703.0,26000000.0,1212309426.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547476.0,3129753.0,165895000000.0,79.908151,0.1881970916278413
corona,laghos,1.4666,8000000.0,3928682.0,27086604930.0,20000000.0,677106.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547464.0,3131707.0,170140000000.0,82.05288,0.18178099004500206
corona,laghos,1.4666,4000000.0,97984889595.0,26964312341.0,28000000.0,801857.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538308.0,3131707.0,173252000000.0,82.391004,0.18178099004500206
corona,laghos,1.4833,16000000.0,100753000000.0,27810298845.0,22000000.0,537425.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547440.0,3133476.0,176487000000.0,84.361292,0.17973437605339446
corona,laghos,1.5,6000000.0,100609000000.0,27783517942.0,20000000.0,1274230079.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,544400.0,3133476.0,174885000000.0,0.005002,0.45553333333333335
corona,laghos,1.8,6000000.0,3326524.0,28740774548.0,16000000.0,4406944127.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,542880.0,3135123.0,178945000000.0,0.005002,0.1481111111111111
corona,laghos,1.5166,8000000.0,103448000000.0,28482242436.0,30000000.0,504588.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,542904.0,3135122.0,178065000000.0,0.005002,0.43953580377159435
corona,laghos,1.55,2000000.0,3987437.0,29026146577.0,16000000.0,1334762829.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539828.0,3136647.0,182944000000.0,0.010004,0.172
corona,laghos,1.55,4000000.0,105608000000.0,28945361688.0,22000000.0,1225608057.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,545944.0,3136647.0,182380000000.0,104.005739,0.172
corona,laghos,1.5666,4000000.0,7990753.0,29440186772.0,40000000.0,1361488665.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,544436.0,3138112.0,186844000000.0,0.005002,0.18083748244606154
corona,laghos,1.5833,8000000.0,11802526.0,29596156563.0,12000000.0,1359699661.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,541348.0,3138112.0,188380000000.0,89.28938,0.17893008273858396
corona,laghos,1.6166,12000000.0,108725000000.0,30003899193.0,36000000.0,1414677444.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,536776.0,3139576.0,188873000000.0,0.005002,0.18557466287269578
corona,laghos,1.6166,6000000.0,12512127.0,30193152400.0,18000000.0,1369120863.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,547476.0,3139574.0,186878000000.0,0.005002,0.17524433997278238
corona,laghos,1.6333,6000000.0,7778655.0,1089066.0,24000000.0,1458507363.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,538296.0,3140979.0,194793000000.0,93.051065,0.17345251943917223
corona,laghos,1.6333,8000000.0,8241843.0,30535348492.0,22000000.0,4742586941.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,539828.0,3140979.0,22952960024.0,92.196547,0.17345251943917223
