machine,app,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
quartz,miniVite,0,0.188372093,0.18807763399480043,0.13242009133333332,0.18763575602220003,0,0,0,0,0.01369863,0.001518178,0.00225128,2.398245771132422e-06,5.059142511700324e-06,0.032470826986666666,0.1995192308151818
quartz,miniVite,0,0.3348928052413198,0.42325410122201557,0.6223958333333334,0.4231359648097593,0,0,0,0,0.984375,0.8523684770528837,0.8512584900047984,0.9685731607819912,0.9686787105225679,0.7037037037037037,0.31399364815355685
quartz,miniVite,0,0.1970930232635867,0.1963955638403981,0.14383561641666667,0.19649122800585253,0,0,0,0,0.01369863,0.003224795,0.002967192,2.398245771132422e-06,5.059142511700324e-06,0,0.39903846163036355
quartz,miniVite,0,0.081976744,0.082255083,0.061643836,0.081871345,0,0,0,0,0.01369863,7.629817426406351e-05,0.000384629,2.398245771132422e-06,3.7943568837752427e-06,0,0.39903846163036355
quartz,miniVite,0,0.1518622819807173,0.23508260167499245,0.5078125,0.2215016707901026,0,0,0,0,0.953125,0.076979334,0.16981995803063274,0.9685731607819912,0.9686743821225573,0.6296296296296297,0.39903846163036355
quartz,miniVite,0,0.1627906976847823,0.16451016637443325,0.11643835616666667,0.16374269002464667,0,0,0,0,0.01369863,0.016023704379309802,0.015966385621672463,2.398245771132422e-06,8.853499395476e-06,0,0.39903846163036355
quartz,miniVite,0,0.062790698,0.061460259,0.041095890408333335,0.061821219689271324,0,0,0,0,0.01369863,0.000264762,0.000303187,2.398245771132422e-06,6.3239281396254045e-06,0.032470826986666666,0.39903846163036355
quartz,miniVite,0,0.20889353198220942,0.30992952866568513,0.6015625,0.3061194652558187,0,0,0,0,0.859375,0.2823338879609307,0.2888215080096435,0.9999999999999999,0.999995673,0.7037037037037037,0.4982007140714419
quartz,miniVite,0,0.15581395348343696,0.1557301293920294,0.11415525116666667,0.1558897242963904,0,0,0,0,0.02739726,0.000401225,0.002881973,2.398245771132422e-06,3.7943568837752427e-06,0,0.39903846163036355
quartz,miniVite,0,0.4124818314061405,0.5075886668453312,0.734375,0.5134711778204563,0,0,0,0,0.8125,1,0.9084788395060007,0.9057192222391502,0.9060433434133698,0.6666666666666666,0.4982007140714419
