machine,app,ranks,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
Quartz,TestDfft,0,0.030500027087057808,0.035525807697258334,0.034007246351346124,0.032794372,0.016914962218290645,0.025076452599388382,0.010814249363867684,0.017605633802816902,0.4788703360131932,0.046415261669632155,0.002772328,0,0.9418276505154992,0.010688952241972001,0.039266295454560174
Quartz,TestDfft,0,0.054499160301208084,0.068992148,0.066506886,0.060896112,0.027497148,0.043425076,0.020356234096692113,0.034330985915492954,0.3706375928598151,0.096653041,0.007241951,0.000217981,0.9419402512403678,0.028581601362007707,0.032587875
Quartz,TestDfft,0,0.00828864,0.023120736259492857,0.018625442354255912,0.012829561016361778,0.001355843,0.001223242,0.000377704,0,0.012338044084075794,0.035386618,0.046760254,1,2.37587529490213e-05,0.00128127,0.049293954
Quartz,TestDfft,0,0.065388158,0.092096795,0.089335353,0.078838751,0.065063906,0.074006116,0.034987277,0.051056338028169015,0.4866885025615184,0.072383086,0.002242342,0.000217981,0.9419261761497566,0.10239880849399358,0.039266295454560174
Quartz,TestDfft,0,0.00807025,0.01528913,0.012124109,0.008956951,0.002033764,0.001834862,0.001192748,0.000880282,0.010933217282423635,0.009272377,0.055426377,1,2.37587529490213e-05,0.002635254,0.063270221
Quartz,TestDfft,0,0.082561352,0.089651178,0.085511866,0.086129658,0.080408076,0.06911315,0.047073791348600506,0.054577465,0.23650717301510954,0.10325625582211483,0.003146591,0.000217981,0.9506386572363539,0.03211199,0.032587875
Quartz,TestDfft,0,0.12416707297253374,0.13869223838331832,0.13184353222728662,0.13105741076318816,0.08464095,0.12171253822629971,0.054071247,0.085387324,0.1619902731013842,0.1525328065615185,0.00504495,0.000217981,0.9419402512403678,0.11066312624898764,0.053818227
Quartz,TestDfft,0,0.018981255755999783,0.035218094,0.027804623,0.020615833981334153,0.003025844,0.003612385,0.001272265,0.001485475,0.004138131,0.030764490765668534,0.11842783472584323,0.999003514,9.683662337778287e-06,0.006436439,0.02927616
Quartz,TestDfft,0,0.1770951839211225,0.20858540352683744,0.1884086492337212,0.1904575051153008,0.1290861290695944,0.14801223241590214,0.08524173,0.12411971830985916,0.24603556349588096,0.22711835119276574,0.00896094,0.000217981,0.9419121010591489,0.094054255,0.082576051
Quartz,TestDfft,0,0.24009968037271792,0.2565967305959583,0.24384921123008746,0.24899276211875568,0.13543544040080027,0.20611620795107036,0.10877862595419847,0.17077464788732394,0.5797735480275163,0.2683534257717132,0.005635967,0.000217981,0.9419402512403678,0.1369003292187261,0.019271025
