machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
quartz,-0.44358036,1.971031,0.33816865,0.040250722,0.19058779,0.08437238,0.13795757,-0.7459875,-0.5682719,-0.76616484,-0.2015376,-2.0046163,-0.15137464,-0.14211044,0.3621006,2426000000.0,3356000000.0,968000000.0,11516000000.0,32000000.0,12000000.0,0.0,0.0,1556948.0,1461157400.0,1076277800.0,37771.0,2190229.0,116000000.0,16.332
quartz,-0.44358036,1.971031,0.33816865,0.040250722,0.19058779,0.08437238,0.13795757,-0.7459875,-0.5682719,-0.76616484,-0.2015376,-2.0046163,-0.15137464,-0.14211044,0.3621006,2426000000.0,3356000000.0,968000000.0,11516000000.0,32000000.0,12000000.0,0.0,0.0,1556449.0,1460442900.0,1077872400.0,37771.0,2190229.0,116000000.0,13.332
quartz,-0.44358036,1.971031,0.33816865,0.040250722,0.19058779,0.08437238,0.13795757,-0.7459875,-0.5682719,-0.76616484,-0.2015376,-2.0046163,-0.15137464,-0.14211044,0.3621006,2792000000.0,3862000000.0,1114000000.0,13250000000.0,26000000.0,16000000.0,0.0,0.0,1789740.0,1680159200.0,1238203100.0,37771.0,2193037.0,140000000.0,10.25976
quartz,-0.44358036,1.971031,0.33816865,0.040250722,0.19058779,0.08437238,0.13795757,-0.7459875,-0.5682719,-0.76616484,-0.2015376,-2.0046163,-0.15137464,-0.14211044,0.3621006,2792000000.0,3862000000.0,1108000000.0,13250000000.0,38000000.0,14000000.0,0.0,0.0,1790082.0,1681196800.0,1238368900.0,37771.0,2193037.0,136000000.0,10.25976
quartz,-0.44358036,1.971031,0.33816865,0.040250722,0.19058779,0.08437238,0.13795757,-0.7459875,-0.5682719,-0.76616484,-0.2015376,-2.0046163,-0.15137464,-0.14211044,0.3621006,3154000000.0,4360000000.0,1258000000.0,14964000000.0,30000000.0,16000000.0,0.0,0.0,2021762.0,1896564600.0,1396403700.0,37771.0,2195719.0,150000000.0,10.51051
quartz,-0.44358036,1.971031,0.33816865,0.040250722,0.19058779,0.08437238,0.13795757,-0.7459875,-0.5682719,-0.76616484,-0.2015376,-2.0046163,-0.15137464,-0.14211044,0.3621006,3152000000.0,4358000000.0,1258000000.0,14960000000.0,30000000.0,18000000.0,0.0,0.0,2022435.0,1897379700.0,1397572100.0,37771.0,2195719.0,142000000.0,10.25976
quartz,-0.44358036,1.971031,0.33816865,0.040250722,0.19058779,0.08437238,0.13795757,-0.7459875,-0.5682719,-0.76616484,-0.2015376,-2.0046163,-0.15137464,-0.14211044,0.3621006,3434000000.0,4746000000.0,1368000000.0,16294000000.0,36000000.0,18000000.0,0.0,0.0,2202499.0,2065152500.0,1520600600.0,37771.0,2197853.0,170000000.0,10.75976
quartz,-0.44358036,1.971031,0.33816865,0.040250722,0.19058779,0.08437238,0.13795757,-0.7459875,-0.5682719,-0.76616484,-0.2015376,-2.0046163,-0.15137464,-0.14211044,0.3621006,3434000000.0,4746000000.0,1368000000.0,16292000000.0,32000000.0,20000000.0,0.0,0.0,2202362.0,2065422000.0,1520506000.0,37771.0,2197855.0,172000000.0,10.75976
quartz,-0.44358036,1.971031,0.33816865,0.040250722,0.19058779,0.08437238,0.13795757,-0.7459875,-0.5682719,-0.76616484,-0.2015376,-2.0046163,-0.15137464,-0.14211044,0.3621006,3640000000.0,5040000000.0,1452000000.0,17290000000.0,42000000.0,18000000.0,2000000.0,0.0,2337750.0,2193318000.0,1615712500.0,37771.0,2199440.0,180000000.0,11.01051
quartz,-0.44358036,1.971031,0.33816865,0.040250722,0.19058779,0.08437238,0.13795757,-0.7459875,-0.5682719,-0.76616484,-0.2015376,-2.0046163,-0.15137464,-0.14211044,0.3621006,3644000000.0,5036000000.0,1450000000.0,17290000000.0,34000000.0,18000000.0,0.0,0.0,2338564.0,2191995100.0,1614181100.0,37771.0,2199439.0,178000000.0,8.803122
quartz,-0.44358036,1.971031,0.33816865,0.040250722,0.19058779,0.08437238,0.13795757,-0.7459875,-0.5682719,-0.76616484,-0.2015376,-2.0046163,-0.15137464,-0.14211044,0.3621006,3788000000.0,5244000000.0,1512000000.0,17994000000.0,50000000.0,20000000.0,0.0,0.0,2430175.0,2282039300.0,1680659600.0,37771.0,2200601.0,186000000.0,13.513514
quartz,-0.44358036,1.971031,0.33816865,0.040250722,0.19058779,0.08437238,0.13795757,-0.7459875,-0.5682719,-0.76616484,-0.2015376,-2.0046163,-0.15137464,-0.14211044,0.3621006,3792000000.0,5244000000.0,1514000000.0,17998000000.0,44000000.0,20000000.0,2000000.0,0.0,2431784.0,2282041900.0,1681138700.0,37771.0,2200600.0,186000000.0,11.261261
