ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp
0,0,0.000142361,0.000243771,0.000125741,0,7.125254608934025e-05,0,0,0.001061065,0.000982526,0,0.001800617,0.000332561,0,0.2004801919999999
0,0.000338528,0.000723074,0.000954398,0.000702974,0.000501343,0.000941025,0.000127788,0.000475524,0.001524884,0.002401949,0.000404057,0.001620555,0.000343375,0.000227131,0.3320000000000001
0,1.9508637488367762e-05,0.000166897,0.000303845,0.000156316,1.973520201911422e-05,8.108048346572305e-05,1.5182685513594923e-05,0,0,0.001627739,0.000584945,0.001977774,0.000554268,2.0799911073299975e-05,0.3320000000000001
0,0.000144648,0,0,0,4.224025705596812e-05,0,1.7080521373599505e-05,0,0.000838686,0.00021232,0.000721674,0.001980678,0.000554268,0.000124202,1
0,0.11686468525080212,0.088615553,0.080500067,0.092240371,0.061460612686931836,0.06658919,0.050534304,0.064274958,0.001035651,0.055707601,0.063479785,0.004501541,0,0.063554301,0.36842105199999997
0,1,1,0.9940422543182891,0.9999999999999999,0.9982944630557111,0.9999999999999999,0.9967319269105179,0.9999999999999999,0.000216025,0.9946368760141392,0.9984605949489099,0.004495733,0.000511007,1.0000000000000002,0.21632429199999992
0,0.12841741674412935,0.093883671,0.084999985,0.09869842,0.061224828965358746,0.065554799,0.050723454977476254,0.064136264,0.2287516917119612,0.05822651,0.064244108,0.999597765,0.2287229159977784,0.063918316,0.45378914000000004
0,0.9948922839436102,0.9912198030123774,0.9999999999999999,0.9999999999999999,1,0.99930713,0.9999999999999999,0.9984149207990054,1,1,0.9999999999999999,1,1,0.9739450432993731,0.1975181399999999
0,0.001370216,0.000628979,0.000428296,0.000699129,0.000203238,0.000201473,0.000144868,3.962697788500774e-05,0.000165196,0,0.000358479,1.4521102495099192e-05,0.000429896,0.000323264,0.6659999999999999
0,0.040221774,0.036055367,0.036826812,0.037541271535075194,0.018814572197456313,0.024916278262331976,0.019514179,0.019721026072408433,0.001588421,0.059658699,0.012625206084912886,0,0.000535341,0.009201144,0
0,0.015362449,0.020460054030407526,0.023600451065430093,0.020054655282889716,0.028718874,0.037098007,0.012738905885394029,0.024390404983089253,0.001639251,0.018921337290148006,0.025883643,0.001495673,0.000264966,0.017033365007853303,0.3134515499999999
0,0.040541574,0.032878618,0.036797354,0.034398085,0.018666039,0.071309057,0.006000324,0.010435104218865494,0.001620189,0.030288666206939745,0.011244860895655033,0.001344654,0.000665121,0.005956358,0.3898098240000001
0,0.031317677,0.050348918,0.06224421,0.048648534,0.06840498,0.10215158119228505,0.0352213,0.064149473,0.001219907,0.048566801,0.067244458,0.001344654,0.000375821,0.048415207,0.3161460140000001
0,0.027867983,0.072108051,0.096357931,0.069637196,0.06364568,0.1398933177003694,0.03353792,0.063218239,0.002103069,0.19455857463806014,0.054242332855007874,0.00134175,0.000375821,0.029808443832593505,0.13907653200000003
