0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.15649442,1.2360544,-0.71295327,-1.407523,-0.12734957,1.2141697,0.7662635,0.17863993,-1.8128128,1.6980357,1.8858792,-0.8096528,-2.2261982,-0.3362303,-0.07721993,0.0,0.18837209,0.18807763,0.1324201,0.18763575,0.0,0.0,0.0,0.0,0.01369863,0.001518178,0.00225128,2.3982457e-06,5.0591425e-06,0.032470826,0.19951923
0.15649442,1.2360544,-0.71295327,-1.407523,-0.12734957,1.2141697,0.7662635,0.17863993,-1.8128128,1.6980357,1.8858792,-0.8096528,-2.2261982,-0.3362303,-0.07721993,0.0,0.3348928,0.4232541,0.6223958,0.42313597,0.0,0.0,0.0,0.0,0.984375,0.8523685,0.8512585,0.96857315,0.9686787,0.7037037,0.31399366
0.15649442,1.2360544,-0.71295327,-1.407523,-0.12734957,1.2141697,0.7662635,0.17863993,-1.8128128,1.6980357,1.8858792,-0.8096528,-2.2261982,-0.3362303,-0.07721993,0.0,0.19709302,0.19639556,0.14383562,0.19649123,0.0,0.0,0.0,0.0,0.01369863,0.003224795,0.002967192,2.3982457e-06,5.0591425e-06,0.0,0.39903846
0.15649442,1.2360544,-0.71295327,-1.407523,-0.12734957,1.2141697,0.7662635,0.17863993,-1.8128128,1.6980357,1.8858792,-0.8096528,-2.2261982,-0.3362303,-0.07721993,0.0,0.08197674,0.08225508,0.061643835,0.081871346,0.0,0.0,0.0,0.0,0.01369863,7.629817e-05,0.000384629,2.3982457e-06,3.7943569e-06,0.0,0.39903846
0.15649442,1.2360544,-0.71295327,-1.407523,-0.12734957,1.2141697,0.7662635,0.17863993,-1.8128128,1.6980357,1.8858792,-0.8096528,-2.2261982,-0.3362303,-0.07721993,0.0,0.15186228,0.2350826,0.5078125,0.22150168,0.0,0.0,0.0,0.0,0.953125,0.07697933,0.16981995,0.96857315,0.96867436,0.6296296,0.39903846
0.15649442,1.2360544,-0.71295327,-1.407523,-0.12734957,1.2141697,0.7662635,0.17863993,-1.8128128,1.6980357,1.8858792,-0.8096528,-2.2261982,-0.3362303,-0.07721993,0.0,0.1627907,0.16451016,0.11643836,0.16374269,0.0,0.0,0.0,0.0,0.01369863,0.016023705,0.015966386,2.3982457e-06,8.8535e-06,0.0,0.39903846
0.15649442,1.2360544,-0.71295327,-1.407523,-0.12734957,1.2141697,0.7662635,0.17863993,-1.8128128,1.6980357,1.8858792,-0.8096528,-2.2261982,-0.3362303,-0.07721993,0.0,0.0627907,0.06146026,0.04109589,0.06182122,0.0,0.0,0.0,0.0,0.01369863,0.000264762,0.000303187,2.3982457e-06,6.323928e-06,0.032470826,0.39903846
0.15649442,1.2360544,-0.71295327,-1.407523,-0.12734957,1.2141697,0.7662635,0.17863993,-1.8128128,1.6980357,1.8858792,-0.8096528,-2.2261982,-0.3362303,-0.07721993,0.0,0.20889354,0.30992952,0.6015625,0.30611947,0.0,0.0,0.0,0.0,0.859375,0.28233388,0.28882152,1.0,0.99999565,0.7037037,0.4982007
0.15649442,1.2360544,-0.71295327,-1.407523,-0.12734957,1.2141697,0.7662635,0.17863993,-1.8128128,1.6980357,1.8858792,-0.8096528,-2.2261982,-0.3362303,-0.07721993,0.0,0.15581395,0.15573013,0.11415525,0.15588972,0.0,0.0,0.0,0.0,0.02739726,0.000401225,0.002881973,2.3982457e-06,3.7943569e-06,0.0,0.39903846
0.15649442,1.2360544,-0.71295327,-1.407523,-0.12734957,1.2141697,0.7662635,0.17863993,-1.8128128,1.6980357,1.8858792,-0.8096528,-2.2261982,-0.3362303,-0.07721993,0.0,0.41248184,0.5075887,0.734375,0.5134712,0.0,0.0,0.0,0.0,0.8125,1.0,0.90847886,0.9057192,0.90604335,0.6666667,0.4982007
