machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,duration
ruby,laghos,1,28908000000.0,119378000000.0,41704000000.0,340638000000.0,1038000000.0,776000000.0,22000000.0,16000000.0,0.0,45815995.0,120074000000.0,39643887017.0,105104.0,2233981.0,2848000000.0,0.8333
ruby,laghos,1,28918000000.0,119390000000.0,41716000000.0,340646000000.0,1042000000.0,778000000.0,24000000.0,18000000.0,0.0,45822705.0,120071000000.0,39629497166.0,105104.0,2233981.0,2810000000.0,0.8333
ruby,laghos,1,33668000000.0,139030000000.0,48566000000.0,396490000000.0,1212000000.0,904000000.0,28000000.0,20000000.0,0.0,52841983.0,139776000000.0,45996438218.0,105104.0,2238376.0,3304000000.0,0.9666
ruby,laghos,1,33664000000.0,139016000000.0,48562000000.0,396496000000.0,1212000000.0,904000000.0,26000000.0,20000000.0,0.0,52846566.0,139775000000.0,46014530258.0,105104.0,2238374.0,3294000000.0,0.9666
ruby,laghos,1,37624000000.0,155472000000.0,54304000000.0,443246000000.0,1350000000.0,1014000000.0,30000000.0,22000000.0,0.0,57820257.0,156267000000.0,51366048170.0,105104.0,2242216.0,3704000000.0,1.1
ruby,laghos,1,37640000000.0,155482000000.0,54308000000.0,443264000000.0,1356000000.0,1016000000.0,32000000.0,24000000.0,0.0,57821633.0,156269000000.0,51338682554.0,105104.0,2242217.0,3954000000.0,1.0833
ruby,laghos,1,40964000000.0,169372000000.0,59164000000.0,482752000000.0,1472000000.0,1104000000.0,32000000.0,26000000.0,0.0,61888290.0,170223000000.0,55923763028.0,105105.0,2245512.0,4000000000.0,1.1666
ruby,laghos,1,40958000000.0,169358000000.0,59162000000.0,482740000000.0,1478000000.0,1108000000.0,34000000.0,24000000.0,0.0,61886044.0,170221000000.0,55985694975.0,105104.0,2245513.0,4092000000.0,1.1666
ruby,laghos,1,322798000000.0,1584790000000.0,553512000000.0,4431700000000.0,22588000000.0,11134000000.0,636000000.0,592000000.0,0.0,610056523.0,1655160000000.0,531700000000.0,105104.0,2250491.0,39346000000.0,10.7833
ruby,laghos,1,322624000000.0,1584660000000.0,553432000000.0,4431500000000.0,22562000000.0,11138000000.0,590000000.0,440000000.0,0.0,609509724.0,1655160000000.0,531771000000.0,105104.0,2250491.0,39266000000.0,10.8166
ruby,laghos,1,431046000000.0,2117500000000.0,739212000000.0,5917090000000.0,30334000000.0,14894000000.0,720000000.0,504000000.0,0.0,785532147.0,2210570000000.0,707229000000.0,105104.0,2265126.0,52410000000.0,13.25
ruby,laghos,1,430952000000.0,2117410000000.0,739168000000.0,5916970000000.0,30232000000.0,14880000000.0,808000000.0,754000000.0,0.0,786282460.0,2210570000000.0,707330000000.0,105104.0,2265126.0,52480000000.0,13.3333
ruby,laghos,1,537058000000.0,2639600000000.0,921268000000.0,7371440000000.0,37642000000.0,18586000000.0,966000000.0,618000000.0,0.0,914495565.0,2753850000000.0,878324000000.0,105104.0,2279520.0,64660000000.0,17.85
ruby,laghos,1,537158000000.0,2639720000000.0,921316000000.0,7371610000000.0,37690000000.0,18608000000.0,890000000.0,716000000.0,0.0,916677196.0,2753850000000.0,878208000000.0,105104.0,2279520.0,65608000000.0,17.8666
ruby,laghos,1,580896000000.0,2854960000000.0,996300000000.0,7970240000000.0,40778000000.0,20076000000.0,1114000000.0,938000000.0,0.0,961609827.0,2978090000000.0,947521000000.0,105104.0,2285379.0,71098000000.0,19.2666
ruby,laghos,1,580674000000.0,2854800000000.0,996198000000.0,7969990000000.0,40854000000.0,20118000000.0,1000000000.0,698000000.0,0.0,961308295.0,2978090000000.0,948152000000.0,105104.0,2285379.0,70558000000.0,19.3166
ruby,laghos,1,635372000000.0,3126550000000.0,1090920000000.0,8726910000000.0,44566000000.0,21982000000.0,1272000000.0,1058000000.0,0.0,1006544981.0,3261210000000.0,1037110000000.0,105104.0,2293033.0,77458000000.0,21.0833
ruby,laghos,1,635944000000.0,3126970000000.0,1091180000000.0,8727510000000.0,44676000000.0,22056000000.0,1200000000.0,1084000000.0,0.0,1005030067.0,3261210000000.0,1037880000000.0,105104.0,2293033.0,77230000000.0,21.1666
