machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,duration
quartz,lulesh2.0,1,87194444.44,123111111.1,13694444.44,308416666.7,0.0,0.0,0.0,0.0,0.0,3709.513889,7202532.917,1510570.611,525.0555556,30141.90278,6166666.667,0.0333
quartz,lulesh2.0,1,118916666.7,168555555.6,18250000.0,422416666.7,0.0,0.0,0.0,0.0,0.0,5539.569444,9971515.194,2139678.528,525.0555556,30141.90278,8611111.111,0.0333
quartz,lulesh2.0,1,102694444.4,149638888.9,17194444.44,374750000.0,0.0,0.0,0.0,0.0,0.0,7393.597222,13828717.53,3005817.736,525.0555556,30141.90278,13972222.22,0.0333
quartz,lulesh2.0,1,114472222.2,168916666.7,20638888.89,423583333.3,0.0,27777.77778,0.0,0.0,0.0,10375.80556,18990453.94,4111417.083,525.0555556,30141.90278,16083333.33,0.0333
quartz,lulesh2.0,1,151666666.7,223750000.0,26583333.33,561527777.8,27777.77778,0.0,0.0,0.0,0.0,13239.625,24948768.08,5322109.875,525.0555556,30141.90278,25388888.89,0.0333
quartz,lulesh2.0,1,143166666.7,216305555.6,27694444.44,543611111.1,27777.77778,27777.77778,0.0,0.0,0.0,16643.125,31388692.11,6880360.778,525.0555556,30141.90278,29638888.89,0.05
quartz,lulesh2.0,1,4371611111.0,6909444444.0,966416666.7,17403833333.0,46361111.11,26777777.78,9777777.778,4361111.111,0.0,696152.75,1376774071.0,303037841.1,525.0416667,30141.86111,1168472222.0,0.25
quartz,lulesh2.0,1,5009805556.0,7834166667.0,1072333333.0,19723694444.0,49333333.33,28472222.22,10361111.11,5972222.222,0.0,738770.3194,1458105085.0,311366761.9,525.0555556,30141.88889,1260416667.0,0.2833
quartz,lulesh2.0,1,4740500000.0,7527111111.0,1061416667.0,18963166667.0,54277777.78,30444444.44,11305555.56,6222222.222,0.0,783165.2222,1534612823.0,336231805.7,525.0416667,30141.86111,1329444444.0,0.2833
quartz,lulesh2.0,1,5050666667.0,8009916667.0,1127388889.0,20180916667.0,55861111.11,32611111.11,12305555.56,6250000.0,0.0,829135.2222,1617347655.0,348568627.2,525.0555556,30141.90278,1375472222.0,0.3
quartz,lulesh2.0,1,5461666667.0,8636388889.0,1207555556.0,21753388889.0,70305555.56,34666666.67,12333333.33,6361111.111,0.0,877020.4861,1714357775.0,364308603.5,525.0416667,30141.86111,1280888889.0,0.3
quartz,lulesh2.0,1,5404500000.0,8625083333.0,1228361111.0,21735305556.0,64833333.33,35416666.67,15055555.56,7055555.556,0.0,926361.3194,1799015718.0,400226897.4,525.0555556,30141.90278,1545166667.0,0.3166
quartz,lulesh2.0,1,6239694444.0,9832361111.0,1364861111.0,24760305556.0,69833333.33,37694444.44,15194444.44,8111111.111,0.0,977726.2917,1889282789.0,408224044.8,525.0555556,30141.88889,1587000000.0,0.35
quartz,lulesh2.0,1,6708027778.0,10538833333.0,1456055556.0,26540638889.0,69138888.89,39500000.0,15472222.22,8361111.111,0.0,1030862.222,1987135875.0,426258399.0,525.0555556,30141.90278,1771472222.0,0.3666
quartz,lulesh2.0,1,6388194444.0,10184972222.0,1445555556.0,25661444444.0,71805555.56,42111111.11,16055555.56,8416666.667,0.0,1085674.486,2093452694.0,467325878.2,525.0555556,30141.90278,1850666667.0,0.3833
quartz,lulesh2.0,1,6756166667.0,10757333333.0,1525500000.0,27110416667.0,76222222.22,44388888.89,17777777.78,8361111.111,0.0,1142497.764,2197501859.0,486637446.5,525.0555556,30141.875,2059611111.0,0.3833
quartz,lulesh2.0,1,7277722222.0,11548722222.0,1625750000.0,29094166667.0,83138888.89,46861111.11,18444444.44,8638888.889,0.0,1201877.444,2313485283.0,495775909.7,525.0555556,30141.875,2064777778.0,0.4
quartz,lulesh2.0,1,2382055556.0,3734666667.0,515222222.2,9405444444.0,25833333.33,13833333.33,4277777.778,2166666.667,0.0,357288.6389,711701843.7,151750111.5,525.0555556,30141.90278,605027777.8,0.1333
