machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,duration
quartz,laghos,1,55010000000.0,183080000000.0,61218000000.0,539434000000.0,1722000000.0,2170000000.0,90000000.0,82000000.0,0.0,8728818.0,119065000000.0,87395861298.0,37771.0,2258117.0,9440000000.0,1.5
quartz,laghos,1,54990000000.0,183070000000.0,61214000000.0,539412000000.0,1754000000.0,2168000000.0,128000000.0,96000000.0,0.0,8727180.0,119064000000.0,87556119460.0,37771.0,2258118.0,9302000000.0,1.5
quartz,laghos,1,72274000000.0,240576000000.0,80442000000.0,708862000000.0,2392000000.0,2850000000.0,116000000.0,102000000.0,0.0,11482814.0,156646000000.0,115099000000.0,37771.0,2285302.0,12154000000.0,1.9666
quartz,laghos,1,72260000000.0,240568000000.0,80436000000.0,708856000000.0,2384000000.0,2848000000.0,132000000.0,130000000.0,0.0,11483660.0,156648000000.0,114991000000.0,37771.0,2285304.0,12330000000.0,2.0
quartz,laghos,1,83436000000.0,277654000000.0,92846000000.0,818162000000.0,2710000000.0,3292000000.0,182000000.0,146000000.0,0.0,13257360.0,180772000000.0,132827000000.0,37771.0,2302598.0,14140000000.0,2.3166
quartz,laghos,1,83376000000.0,277618000000.0,92822000000.0,818110000000.0,2714000000.0,3290000000.0,128000000.0,116000000.0,0.0,13252974.0,180772000000.0,132823000000.0,37771.0,2302599.0,14426000000.0,2.3666
quartz,laghos,1,93430000000.0,311080000000.0,104006000000.0,916736000000.0,3024000000.0,3688000000.0,134000000.0,138000000.0,0.0,14852424.0,202572000000.0,148869000000.0,37771.0,2318277.0,15916000000.0,2.5833
quartz,laghos,1,93462000000.0,311102000000.0,104026000000.0,916756000000.0,3026000000.0,3686000000.0,140000000.0,134000000.0,0.0,14852316.0,202572000000.0,148842000000.0,37771.0,2318278.0,16520000000.0,2.55
quartz,laghos,1,18722000000.0,77512000000.0,27208000000.0,220670000000.0,688000000.0,712000000.0,50000000.0,30000000.0,0.0,30887939.0,77792290434.0,37168079192.0,37771.0,2189549.0,5748000000.0,0.7333
quartz,laghos,1,18722000000.0,77512000000.0,27208000000.0,220672000000.0,712000000.0,712000000.0,40000000.0,24000000.0,0.0,30885180.0,77796755598.0,37167429328.0,37771.0,2189547.0,5680000000.0,0.75
quartz,laghos,1,23430000000.0,96882000000.0,34004000000.0,275976000000.0,842000000.0,894000000.0,44000000.0,28000000.0,0.0,37530644.0,97270317507.0,46548092112.0,37771.0,2193877.0,7080000000.0,0.9
