machine,app,args,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3.8 -pa,0.1666,10002000000.0,23680000000.0,7586000000.0,73182000000.0,192000000.0,142000000.0,0.0,0.0,3979983.0,13938357463.0,7276385179.0,105104.0,2248319.0,310000000.0,8.037107,,,,1.958893
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3.9,0.1666,10220000000.0,24194000000.0,7752000000.0,74762000000.0,198000000.0,146000000.0,0.0,0.0,4065311.0,14234824562.0,7468478009.0,105104.0,2249235.0,316000000.0,8.387908,,,,1.608092
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 3.9 -pa,0.1833,10224000000.0,24196000000.0,7752000000.0,74762000000.0,196000000.0,146000000.0,0.0,0.0,4065410.0,14234087701.0,7431734701.0,105104.0,2249235.0,316000000.0,8.223251,,,,2.774749
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4,0.1666,10430000000.0,24678000000.0,7906000000.0,76240000000.0,190000000.0,148000000.0,0.0,0.0,4146026.0,14517560928.0,7571605811.0,105104.0,2250086.0,328000000.0,9.026961,,,,0.969039
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4,0.5833,29450571429.0,46408357143.0,15946250000.0,125108000000.0,88892857.14,32892857.14,12035714.29,8428571.429,23745.94643,267027192.6,8171914509.0,108957.75,2109632.536,1742500000.0,11.16193904,,,,23.83606096
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4 -pa,0.1666,10428000000.0,24672000000.0,7906000000.0,76248000000.0,190000000.0,148000000.0,0.0,0.0,4146039.0,14517576716.0,7574279006.0,105104.0,2250086.0,324000000.0,8.893197,,,,1.102803
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4 -pa,0.5666,29468464286.0,46450000000.0,15946535714.0,125159000000.0,88821428.57,32535714.29,12035714.29,8500000.0,24775.21429,267008905.6,8095689005.0,108901.75,2109631.536,1753035714.0,11.31829946,,,,22.67770054
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.1,0.1833,10718000000.0,25362000000.0,8126000000.0,78364000000.0,208000000.0,152000000.0,0.0,0.0,4261272.0,14918300105.0,7787852129.0,105105.0,2251323.0,328000000.0,8.616882,,,,2.381118
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.1 -pa,0.1833,10718000000.0,25358000000.0,8126000000.0,78364000000.0,206000000.0,154000000.0,0.0,0.0,4260132.0,14917428628.0,7791971653.0,105104.0,2251323.0,332000000.0,8.596846,,,,2.401154
ruby,laghos,-p 1 -dim 2 -rs 2 -tf 4.2,0.1833,11090000000.0,26242000000.0,8408000000.0,81096000000.0,212000000.0,158000000.0,0.0,0.0,4409386.0,15438197870.0,8058897913.0,105104.0,2252848.0,342000000.0,8.893442,,,,2.104558
