ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,rp
0,0.001110686,0.001083602,0.001143849,0.001122122,0.000528416,0.000611459,0.000262465,0.000481896,0.001061065,0.002005323,0.00052403,0.001800617,0.001585107,0.000283692,0.1367953204921625
0,0.001448838,0.001663767,0.001853836,0.00169878,0.001029495,0.001480761,0.000390219,0.00095719,0.001524884,0.003423293,0.000927875,0.001620555,0.001595908,0.000510759,0.19880134737870167
0,0.001130173,0.001108114,0.001203869,0.001152666,0.000548141,0.000621281,0.000277644,0.000481896,0,0.002649875,0.001108668,0.001977774,0.001806537,0.000304486,0.16986170400290057
0,0.001255173,0.000941374,0.000900298,0.000996506,0.000570634,0.000540245,0.000279541,0.000481896,0.000838686,0.001235905,0.001245325,0.001980678,0.001806537,0.000407858,0.2025752801986196
0,0.1178455716460763,0.089473507,0.08132789,0.093144958,0.061956552,0.06709346,0.050783506,0.06472588,0.001035651,0.05667437,0.06397055,0.004501541,0.001252963,0.063819964,0
0,0.9999999999999999,1,0.994047618,1.0000000000000002,0.9982953642892411,1,0.9967327846654315,0.9999999999999999,0.000216025,0.9946423667947961,0.9984614016432936,0.004495733,0.001763329,1,0.002926343
0,0.1293854716774964,0.094736666,0.085823758,0.099596572,0.061720893072352366,0.066059628,0.050972606877858616,0.064587253,0.2287516917119612,0.059190700529686384,0.064734472,0.999597765,0.22968929747186273,0.064183874,0.015790678466804743
0,0.9948979570144375,0.9912280684655105,1,1.0000000000000002,1,0.9993075047627467,1,0.9984156846421692,1,1,0.9999999999999999,1,1,0.9739524348810872,0.002782229
0,0,0,0,0,0,0,0,0,0.000933992,0,0,1.3068991200064495e-05,0,0,1.0000000000000002
0,0.00247938,0.001569762,0.001328208,0.001694938,0.000731547,0.000741608,0.000407295,0.000521504,0.000165196,0.001023803,0.000882321,1.4521102495099192e-05,0.00168232,0.000606864,0.1623515821005514
0,0.041287787,0.036962799603274796,0.037693955,0.038500367,0.019333046575620343,0.025443061913497027,0.019771522607546686,0.020193418488151822,0.001588421,0.060621423342251506,0.013142620069154723,0,0.001787633,0.009482226,0.008450489
0,0.016456073,0.021382167910851464,0.024479501,0.021031176306222275,0.029232114561323557,0.037618209,0.012998027401734018,0.024860547244292656,0.001639251,0.019925768244624956,0.026394109260262737,0.001495673,0.001517597,0.017312224738391845,0.010556992698660162
0,0.041607231,0.033789042,0.037664523,0.035360313,0.019184592,0.071810777,0.006261214,0.010911971482252739,0.001620189,0.031281459,0.011762998222145837,0.001344654,0.00191725,0.00623836,0.012581178138057572
0,0.03239358,0.051242895,0.063088469,0.049596561,0.06889725,0.10263663889318628,0.035474521,0.064600455,0.001219907,0.049540881,0.06773325,0.001344654,0.001628313,0.048685164,0.002079398
0,0.028947716390185455,0.072981544,0.097171478,0.070564308,0.064140465,0.14035798563440668,0.033791582532946104,0.06366967,0.002103069,0.19538318771996838,0.054737938,0.00134175,0.001628313,0.030083679375990942,0.002250455
