machine,app,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,rp
quartz,TestDfft,18550000000,15452000000,9102000000,91458000000,1952000000,1634000000,1606000000,1130000000,2595,1046559997,4282318,37804,2173212,11742000000,0.024293868
quartz,TestDfft,3287250000,3942500000,1750937500,14094000000,51500000,52000000,23625000,24125000,1081.03125,66733339.97,499107790.7,69909.84375,2106280.531,812062500,0.571183533
quartz,TestDfft,52000000,92000000,46000000,384000000,4000000,4000000,2000000,0,2197,22257308,669218,37804,2173178,24000000,6.024096386
quartz,TestDfft,54312500,105687500,41187500,306687500,,,,,1110.5625,4342227.188,11126254.91,69877.84375,2106278.5,1562500,1.250750751
quartz,TestDfft,338000000,560000000,308000000,2486000000,42000000,36000000,12000000,10000000,2871,112093988,1709704,37804,2173189,166000000,22.02102102
quartz,TestDfft,93562500,208250000,89937500,639250000,62500,0,0,0,1111.625,13121830.88,18075436.22,69909.84375,2106279.844,9750000,1.600240096
quartz,TestDfft,2930000000,3354000000,1852000000,17024000000,288000000,284000000,120000000,126000000,3132,177961457,2891119,37804,2173773,2706000000,0.166
quartz,TestDfft,410750000,638062500,287000000,2196875000,7500000,8000000,4000000,2000000,1119.5625,24048074.84,65251467.56,69909.84375,2106298.063,74937500,1
quartz,TestDfft,22246000000,18504000000,10902000000,1.09698E+11,2144000000,1962000000,1842000000,1306000000,2446,1249692130,4315438,37804,2173786,13906000000,0.02032819
quartz,TestDfft,3863812500,4592875000,2035500000,16475562500,53437500,62000000,25812500,29437500,1067.96875,72088096.06,639656522.9,69909.84375,2106298.469,1028375000,0.555333333
quartz,TestDfft,60000000,98000000,50000000,422000000,6000000,4000000,2000000,0,2470,21382518,642229,37804,2173747,32000000,4.003003003
quartz,TestDfft,61750000,117250000,44937500,338125000,,,,,1084.875,4280209.469,13688599.47,69876.875,2106296.219,2000000,1.200480192
quartz,TestDfft,396000000,610000000,338000000,2782000000,50000000,40000000,16000000,12000000,3462,113211236,1649389,37804,2173760,140000000,25.02402402
quartz,TestDfft,105437500,225250000,96375000,690625000,1375000,0,0,0,1094.28125,13210699.81,19645789.38,69909.84375,2106297.656,11750000,2.252252252
quartz,TestDfft,3394000000,3746000000,2070000000,19306000000,412000000,324000000,176000000,158000000,3755,205100345,2899514,37804,2174345,3058000000,0.142367067
quartz,TestDfft,473500000,711875000,318062500,2460687500,9562500,9187500,4000000,4000000,1115.46875,24853935,76569932.63,69909.84375,2106315.938,83562500,1
quartz,TestDfft,25870000000,22056000000,12610000000,1.29588E+11,2708000000,2288000000,2244000000,1576000000,4000,1450949192,4359847,37804,2174360,20566000000,0.018110408
quartz,TestDfft,4367875000,5131937500,2287125000,18538625000,62625000,72000000,30500000,34562500,1109.15625,79246514.81,740330605.9,69909.84375,2106316.406,1199687500,0.399759904
quartz,TestDfft,68000000,106000000,54000000,460000000,6000000,6000000,2000000,0,3012,18285747,637961,37804,2174314,34000000,6.024096386
quartz,TestDfft,68000000,127062500,48312500,364062500,,,,,1133.59375,4327184.719,15255309.16,69877.84375,2106314,2000000,1.250750751
quartz,TestDfft,456000000,662000000,366000000,3086000000,56000000,46000000,18000000,14000000,3490,115248289,1679490,37804,2174330,150000000,5.504504505
quartz,TestDfft,116875000,241000000,102250000,739000000,1625000,0,0,0,1079.8125,13278182.88,21412404.22,69877.84375,2106314.469,13187500,1.200480192
quartz,TestDfft,1734000000,1646000000,902000000,8996000000,178000000,124000000,72000000,62000000,3707,131388340,3422047,37804,2174629,416000000,5.504504505
quartz,TestDfft,3022000000,3046000000,1712000000,16234000000,138000000,214000000,92000000,118000000,3677,255035892,7721467,37804,2174631,1056000000,1.600240096
quartz,TestDfft,468125000,937812500,427000000,3114625000,5812500,6000000,2000000,2000000,1084.90625,78569319.81,64882019.59,69877.84375,2106323.875,44562500,7.602641056
quartz,TestDfft,4614000000,4248000000,2270000000,23890000000,394000000,340000000,204000000,190000000,2995,301116090,3755675,37804,2175560,1322000000,0.888666667
quartz,TestDfft,6892000000,6208000000,3484000000,35198000000,442000000,598000000,242000000,290000000,3031,444732292,5813397,37804,2174631,3342000000,0.636115657
quartz,TestDfft,1069625000,1546250000,692312500,5386750000,18687500,16000000,7250000,4812500,1095.875,71163333.56,167591910.7,69909.84375,2106324.875,243875000,1
quartz,TestDfft,9806000000,9512000000,4926000000,51924000000,608000000,724000000,364000000,426000000,3661,646730985,9374469,37804,2174631,3320000000,3.294387575
quartz,TestDfft,13314000000,11830000000,6436000000,67892000000,872000000,1010000000,558000000,578000000,3608,797921749,6163421,37804,2174631,4808000000,0.409165303
quartz,TestDfft,2061437500,2614875000,1172562500,9394625000,25875000,32000000,11625000,10000000,1097.53125,83628702.5,300741469.5,69908.875,2106324.844,464500000,0.124531133
quartz,TestDfft,17822000000,19148000000,9970000000,99428000000,1086000000,1328000000,658000000,768000000,3458,985433592,2209779,37804,2175577,5576000000,0.1332
quartz,TestDfft,22992000000,19800000000,11442000000,1.15792E+11,1590000000,2024000000,876000000,1016000000,4163,1408813458,12663485,37804,2174647,10452000000,0.026921829
quartz,TestDfft,4042000000,5195500000,2335125000,18423375000,40625000,56000000,20000000,22062500,1089.09375,163863068.9,542499423,69909.84375,2106325.375,816375000,0.555333333
quartz,TestDfft,3860000000,4142000000,2292000000,21622000000,428000000,366000000,190000000,182000000,3226,230824375,2850919,37804,2174917,3242000000,1
quartz,TestDfft,529687500,776187500,345562500,2696562500,11375000,10000000,5687500,4000000,1115.375,25688948.06,86317126.22,69876.875,2106332.781,97125000,1.200480192
quartz,TestDfft,29638000000,24546000000,14470000000,1.45836E+11,2904000000,2616000000,2476000000,1786000000,4575,1653872017,4370334,37804,2174933,24928000000,0.984095238
quartz,TestDfft,5014125000,5852437500,2608937500,21170125000,70500000,84000000,34437500,39625000,1071.125,87242567.84,785216715.8,69907.90625,2106334.281,1381187500,0.908892526
quartz,TestDfft,76000000,112000000,56000000,498000000,8000000,6000000,4000000,0,3380,15081627,642892,37804,2174882,38000000,1
quartz,TestDfft,75375000,138250000,52375000,395000000,,,,,1164.65625,4372257.125,16341841.91,69877.84375,2106331.75,2000000,0.799519808
quartz,TestDfft,514000000,710000000,396000000,3370000000,34000000,52000000,16000000,16000000,3225,121127612,1656294,37804,2174899,162000000,1
quartz,TestDfft,128125000,257812500,108437500,788375000,1312500,1750000,0,0,1124.09375,13427714.31,24423505.19,69909.84375,2106333.281,15437500,1
quartz,TestDfft,4324000000,4538000000,2512000000,24010000000,518000000,406000000,212000000,192000000,3541,253121449,2934804,37804,2175491,3562000000,0.750187547
quartz,TestDfft,592687500,850000000,376812500,2959687500,12875000,12000000,6000000,4000000,1093.1875,26552475.56,98134214.31,69877.84375,2106350.75,104437500,1
quartz,TestDfft,33332000000,27566000000,16252000000,1.63792E+11,3382000000,2944000000,2848000000,2006000000,4309,1852277309,4335881,37804,2175510,22428000000,0.125
quartz,TestDfft,5791500000,6787812500,2996687500,24361687500,77437500,94000000,38187500,44750000,1086.03125,92807998.25,921501277.3,69876.875,2106351.313,1530125000,0.545553737
quartz,TestDfft,84000000,118000000,60000000,534000000,8000000,6000000,4000000,0,3576,15503380,653340,37804,2175452,42000000,15.06024096
quartz,TestDfft,81125000,146875000,55312500,419437500,,,,,1194.28125,4440950.625,16607374.22,69876.875,2106349.531,2062500,1.250750751
quartz,TestDfft,572000000,762000000,424000000,3672000000,48000000,56000000,20000000,18000000,4277,129548170,1644413,37804,2175472,238000000,14.51351351
quartz,TestDfft,141000000,275750000,114937500,842812500,1812500,2000000,0,0,1143.84375,13465634.88,26961108,69909.84375,2106351.156,16500000,1.600240096
quartz,TestDfft,2290000000,2098000000,1156000000,11686000000,238000000,164000000,96000000,82000000,4955,160067563,3452507,37804,2176063,540000000,12.76276276
quartz,TestDfft,3980000000,3790000000,2124000000,20784000000,256000000,286000000,142000000,156000000,4898,306987505,7725026,37804,2176065,1630000000,1.2864494
quartz,TestDfft,577812500,1062500000,481062500,3573750000,7937500,9500000,2000000,2000000,1118.71875,80139507.16,80181079.41,69907.90625,2106369.625,57875000,14.20528211
quartz,TestDfft,4790000000,4940000000,2734000000,26368000000,558000000,448000000,242000000,220000000,5062,279110751,2894288,37804,2176065,3778000000,1.110666667
quartz,TestDfft,647062500,911500000,403812500,3187250000,14062500,12000000,6000000,4250000,1083.1875,27205115.16,107779241,69908.875,2106369.656,118375000,0.399759904
quartz,TestDfft,6132000000,5558000000,2978000000,31494000000,396000000,454000000,234000000,258000000,4516,380190057,3800412,37804,2177305,1732000000,0.5
quartz,TestDfft,9152000000,8092000000,4558000000,46438000000,638000000,798000000,340000000,388000000,3957,567434881,5915841,37804,2176065,4606000000,0.062265566
quartz,TestDfft,1366375000,1882125000,838375000,6623000000,17812500,22000000,8375000,7875000,1097.875,76538237.47,227036636.1,69877.84375,2106368.688,317812500,0.666
