index,Quartz,Ruby,Corona
0,0.56316257,0.6764216,1
1,0.14917491,0.1725136,
2,0.12095087,0.059595317,
3,0.044595607,0.046694133,
4,0.037425578,0.018400472,
5,0.017835885,0.008226952,
6,0.014205884,0.006089231,
7,0.052648704,0.012058609,
