machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,2426000000.0,3356000000.0,968000000.0,11516000000.0,32000000.0,12000000.0,0.0,0.0,1556948.0,1461157400.0,1076277800.0,37771.0,2190229.0,116000000.0,3.0
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,2426000000.0,3356000000.0,968000000.0,11516000000.0,32000000.0,12000000.0,0.0,0.0,1556449.0,1460442900.0,1077872400.0,37771.0,2190229.0,116000000.0,2.666
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,2792000000.0,3862000000.0,1114000000.0,13250000000.0,26000000.0,16000000.0,0.0,0.0,1789740.0,1680159200.0,1238203100.0,37771.0,2193037.0,140000000.0,2.2522523
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,2792000000.0,3862000000.0,1108000000.0,13250000000.0,38000000.0,14000000.0,0.0,0.0,1790082.0,1681196800.0,1238368900.0,37771.0,2193037.0,136000000.0,2.2522523
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,3154000000.0,4360000000.0,1258000000.0,14964000000.0,30000000.0,16000000.0,0.0,0.0,2021762.0,1896564600.0,1396403700.0,37771.0,2195719.0,150000000.0,2.5015016
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,3152000000.0,4358000000.0,1258000000.0,14960000000.0,30000000.0,18000000.0,0.0,0.0,2022435.0,1897379700.0,1397572100.0,37771.0,2195719.0,142000000.0,2.5015016
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,3434000000.0,4746000000.0,1368000000.0,16294000000.0,36000000.0,18000000.0,0.0,0.0,2202499.0,2065152500.0,1520600600.0,37771.0,2197853.0,170000000.0,2.7522523
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,3434000000.0,4746000000.0,1368000000.0,16292000000.0,32000000.0,20000000.0,0.0,0.0,2202362.0,2065422000.0,1520506000.0,37771.0,2197855.0,172000000.0,3.0030031
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,3640000000.0,5040000000.0,1452000000.0,17290000000.0,42000000.0,18000000.0,2000000.0,0.0,2337750.0,2193318000.0,1615712500.0,37771.0,2199440.0,180000000.0,3.2522523
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,3644000000.0,5036000000.0,1450000000.0,17290000000.0,34000000.0,18000000.0,0.0,0.0,2338564.0,2191995100.0,1614181100.0,37771.0,2199439.0,178000000.0,2.60024
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,3788000000.0,5244000000.0,1512000000.0,17994000000.0,50000000.0,20000000.0,0.0,0.0,2430175.0,2282039300.0,1680659600.0,37771.0,2200601.0,186000000.0,3.2522523
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,3792000000.0,5244000000.0,1514000000.0,17998000000.0,44000000.0,20000000.0,2000000.0,0.0,2431784.0,2282041900.0,1681138700.0,37771.0,2200600.0,186000000.0,3.2522523
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,8200000000.0,19434000000.0,6256000000.0,59954000000.0,202000000.0,160000000.0,6000000.0,4000000.0,3259234.0,11407388000.0,8376314400.0,37771.0,2205834.0,912000000.0,4.8188763
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,8204000000.0,19430000000.0,6256000000.0,59958000000.0,202000000.0,164000000.0,6000000.0,4000000.0,3259806.0,11407505000.0,8373560000.0,37771.0,2205834.0,916000000.0,4.8188763
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,9346000000.0,22146000000.0,7130000000.0,68328000000.0,176000000.0,186000000.0,8000000.0,6000000.0,3713148.0,13003335000.0,9548959000.0,37771.0,2210655.0,1052000000.0,4.214745
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,9346000000.0,22142000000.0,7130000000.0,68326000000.0,232000000.0,186000000.0,8000000.0,6000000.0,3713446.0,13005317000.0,9545360000.0,37771.0,2210655.0,1064000000.0,4.5397043
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,10432000000.0,24720000000.0,7958000000.0,76272000000.0,208000000.0,204000000.0,10000000.0,6000000.0,4145484.0,14515350000.0,10651865000.0,37771.0,2215167.0,1178000000.0,4.7861123
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,10434000000.0,24722000000.0,7956000000.0,76272000000.0,194000000.0,208000000.0,8000000.0,6000000.0,4145256.0,14515483000.0,10663130000.0,37771.0,2215168.0,1158000000.0,4.714959
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,12200000000.0,28910000000.0,9304000000.0,89206000000.0,228000000.0,238000000.0,12000000.0,8000000.0,4848386.0,16975164000.0,12467357000.0,37771.0,2222505.0,1360000000.0,5.43886
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,12208000000.0,28916000000.0,9308000000.0,89202000000.0,224000000.0,244000000.0,10000000.0,8000000.0,4849573.0,16976721000.0,12466432000.0,37771.0,2222504.0,1358000000.0,5.3762193
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,13414000000.0,31788000000.0,10234000000.0,98084000000.0,260000000.0,268000000.0,12000000.0,8000000.0,5327972.0,18669206000.0,13707820000.0,37771.0,2227626.0,1476000000.0,5.8242145
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,13414000000.0,31786000000.0,10232000000.0,98078000000.0,274000000.0,268000000.0,12000000.0,8000000.0,5328433.0,18667070000.0,13705154000.0,37771.0,2227626.0,1534000000.0,5.9417577
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,14330000000.0,33958000000.0,10930000000.0,105000000000.0,274000000.0,280000000.0,12000000.0,8000000.0,5693421.0,19940213000.0,14646269000.0,37771.0,2231350.0,1578000000.0,5.8957677
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,14334000000.0,33956000000.0,10930000000.0,105000000000.0,290000000.0,282000000.0,10000000.0,8000000.0,5693653.0,19940866000.0,14700632000.0,37771.0,2231350.0,1586000000.0,6.1666665
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,43954000000.0,146000000000.0,48920000000.0,431000000000.0,1448000000.0,1734000000.0,102000000.0,74000000.0,6987658.0,95304030000.0,69996410000.0,37771.0,2240844.0,7392000000.0,0.445958
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,43964000000.0,146000000000.0,48924000000.0,431000000000.0,1494000000.0,1732000000.0,80000000.0,72000000.0,6993352.0,95305060000.0,69973656000.0,37771.0,2240843.0,7534000000.0,0.45833334
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,49292000000.0,164000000000.0,54858000000.0,484000000000.0,1666000000.0,1944000000.0,80000000.0,88000000.0,7837567.0,107000000000.0,78551810000.0,37771.0,2249202.0,9088000000.0,0.49396372
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,49312000000.0,164000000000.0,54870000000.0,484000000000.0,1664000000.0,1944000000.0,78000000.0,72000000.0,7837189.0,107000000000.0,78542750000.0,37771.0,2249202.0,8332000000.0,0.5308148
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,55010000000.0,183000000000.0,61218000000.0,539000000000.0,1722000000.0,2170000000.0,90000000.0,82000000.0,8728818.0,119000000000.0,87395860000.0,37771.0,2258117.0,9440000000.0,0.55553335
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,54990000000.0,183000000000.0,61214000000.0,539000000000.0,1754000000.0,2168000000.0,128000000.0,96000000.0,8727180.0,119000000000.0,87556120000.0,37771.0,2258118.0,9302000000.0,0.55553335
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,72274000000.0,241000000000.0,80442000000.0,709000000000.0,2392000000.0,2850000000.0,116000000.0,102000000.0,11482814.0,157000000000.0,115000000000.0,37771.0,2285302.0,12154000000.0,0.4915082
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,72260000000.0,241000000000.0,80436000000.0,709000000000.0,2384000000.0,2848000000.0,132000000.0,130000000.0,11483660.0,157000000000.0,115000000000.0,37771.0,2285304.0,12330000000.0,0.4833
quartz,-0.32078773,1.6580013,0.33899498,0.8788276,0.060012966,0.15830882,0.69349533,-1.6768335,2.1385162,0.7043692,0.81137866,0.16301519,-1.9995629,0.5313311,0.5685055,83436000000.0,278000000000.0,92846000000.0,818000000000.0,2710000000.0,3292000000.0,182000000.0,146000000.0,13257360.0,181000000000.0,133000000000.0,37771.0,2302598.0,14140000000.0,0.47483382
