machine,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
catalyst,-0.09632603,0.83694017,-0.869592,0.000388615,0.94309896,0.6575468,-0.8506807,1.4973834,-1.2455659,-0.549023,0.043137256,0.06697841,0.29381058,0.096493356,0.07180709,0.097478226,0.13826995,0.09159176,0.091087006,0.093738355,0.14008906,0.098098375,0.010042718,0.09100542,0.06927176,0.050244477,0.09291983,0.29565048,0.08425057,0.064039946,0.051541004,0.062631294,0.2544026,0.062475547,0.11053994,0.1673775,0.09318745,0.07147155,0.093587585,0.09242965,0.09947956,0.092868626,0.06747905,0.058079854,0.09346937,0.10572007,0.08295745,0.08854141,0.06890101,0.07674073,0.09313121,0.057873957,0.05859304,0.030365523,0.058084983,0.058337484,0.07426911,0.09345583,0.09175731,0.14635508,0.11640982,0.06566436,0.007987865,0.07398786,0.07367654,0.08159757,0.31490386,0.10253031,0.08993507,0.06664508,,,0.019047394,0.09041039,0.06156809
catalyst,-0.09632603,0.83694017,-0.869592,0.000388615,0.94309896,0.6575468,-0.8506807,1.4973834,-1.2455659,-0.549023,0.02745098,0.11130949,0.44151008,0.14438096,0.11462148,0.15051992,0.23290922,0.13868676,0.1368496,0.14112611,0.2379835,0.14311096,0.0113335475,0.1402888,0.10557727,0.07879287,0.14178412,0.25170326,0.21897933,0.111596964,0.08182678,0.109848976,0.21216817,0.15339698,0.16753215,0.19423068,0.14026561,0.20048854,0.13951497,0.13842504,0.15144251,0.1400319,0.16527036,0.10731326,0.14065227,0.15324621,0.12306801,0.1369125,0.11555931,0.124222554,0.14044127,0.1434784,0.10440135,0.053085096,0.104041815,0.14153932,0.12909551,0.1410807,0.13398874,0.2019433,0.17572747,0.045178298,0.007099416,0.11334225,0.11246113,0.12848954,0.4739058,0.20987077,0.13658957,0.10818888,,,0.026975932,0.13860148,0.10513829
catalyst,-0.09632603,0.83694017,-0.869592,0.000388615,0.94309896,0.6575468,-0.8506807,1.4973834,-1.2455659,-0.549023,0.011764706,0.29679245,0.88511884,0.28133973,0.22753112,0.31022948,0.34048927,0.27582127,0.27051625,0.25916344,0.34487742,0.28297684,0.009205621,0.27197006,0.18181172,0.19775328,0.27623543,0.4022411,0.3614306,0.29887322,0.17846835,0.29387915,0.3252291,0.36062118,0.29423407,0.3225238,0.27487132,0.34802845,0.2761616,0.27545217,0.28216612,0.2756504,0.37707523,0.2909452,0.27748373,0.27797273,0.27379784,0.29226977,0.30505535,0.29034087,0.27839518,0.3471464,0.29144746,0.1364669,0.2887895,0.34176728,0.26738143,0.28031343,0.26722214,0.32129037,0.35121834,0.034969106,0.004616812,0.22878464,0.22778429,0.2650558,0.941327,0.3582943,0.270338,0.24274603,,,0.049048223,0.25863945,0.2845216
quartz,0.68525517,-0.41597325,1.8687956,0.38512906,-0.87640655,-0.222126,-0.44132063,0.37635133,0.7167788,-0.14111647,0.2784314,0.053586837,0.10881268,0.02649701,0.020595642,0.03354969,0.01932185,0.058231875,0.052487895,0.02721247,0.02073314,0.044789188,0.012785226,0.011651819,0.19460036,0.050857853,0.015067469,0.24818212,0.022730136,0.03251668,0.029385632,0.032009006,0.17150329,0.024093468,0.121607594,0.12699896,0.005056169,0.020217739,0.014105877,0.013414578,0.014979688,0.019016135,0.0262018,0.024861936,0.013648792,0.04546417,0.051560063,0.035832144,0.03167266,0.024318498,0.017184846,0.023280177,0.03213346,0.019186338,0.035923716,0.023140125,0.012915209,0.02159956,0.019185115,0.075715914,0.022829702,0.28878105,0.07400122,0.017966503,0.01791418,0.017323442,0.11323341,0.01977244,0.023914564,0.03393615,,,0.02354929,0.11464482,0.04753112
quartz,0.68525517,-0.41597325,1.8687956,0.38512906,-0.87640655,-0.222126,-0.44132063,0.37635133,0.7167788,-0.14111647,0.13725491,0.04893533,0.21135531,0.051382348,0.033372495,0.05195549,0.033230394,0.061505973,0.059050728,0.0403918,0.035214663,0.06211363,0.01270358,0.021067567,0.08042629,0.059199803,0.029098684,0.24351634,0.031493593,0.044200998,0.02374661,0.050487436,0.16881515,0.03245694,0.11994199,0.119345285,0.009010674,0.027810855,0.028268911,0.026761515,0.032308873,0.034901123,0.035467908,0.037620775,0.027645309,0.052708793,0.05150403,0.061230946,0.04531248,0.043180496,0.03516451,0.031570435,0.04156468,0.018092146,0.046311326,0.031011926,0.026988793,0.04244727,0.039219715,0.07915876,0.042384293,0.18016161,0.032120828,0.040044498,0.040058404,0.034831397,0.2280287,0.03177369,0.049705237,0.04420847,,,0.023667451,0.10814064,0.06519149
quartz,0.68525517,-0.41597325,1.8687956,0.38512906,-0.87640655,-0.222126,-0.44132063,0.37635133,0.7167788,-0.14111647,0.12156863,0.06480058,0.23686187,0.057837855,0.038641114,0.05659668,0.03434503,0.06723719,0.06619575,0.04237065,0.03503928,0.0655955,0.014841289,0.022670534,0.07410302,0.050770227,0.03237903,0.23839411,0.033138234,0.054283544,0.021272643,0.04723599,0.10354716,0.034925193,0.11467603,0.12968674,0.009830642,0.030888813,0.030276267,0.028330635,0.037782285,0.039159186,0.03874313,0.042412855,0.028817082,0.05533541,0.053315777,0.070292875,0.049917784,0.046641596,0.04020271,0.033669308,0.051970713,0.025097897,0.049430747,0.033209886,0.030037846,0.04779772,0.045346923,0.09919442,0.046825193,0.15176064,0.026813166,0.04503523,0.044987023,0.039230406,0.2584791,0.038517475,0.05509841,0.045941357,,,0.022852147,0.1324908,0.05729942
quartz,0.68525517,-0.41597325,1.8687956,0.38512906,-0.87640655,-0.222126,-0.44132063,0.37635133,0.7167788,-0.14111647,0.06666667,0.060901046,0.18686286,0.05251378,0.049415465,0.07139948,0.045941006,0.06250491,0.064805515,0.044081535,0.048501883,0.065501675,0.007054303,0.01951399,0.07893428,0.057184417,0.028353663,0.253831,0.035297595,0.04284629,0.03722567,0.042064898,0.1668478,0.031855114,0.117459826,0.12573428,0.0130952615,0.027907414,0.013890571,0.014441081,0.055477347,0.021879483,0.033101887,0.03731063,0.017055593,0.041899838,0.06496138,0.05782089,0.041826904,0.041631807,0.02076589,0.031164235,0.040473204,0.019981604,0.04099945,0.030367535,0.0341321,0.044572655,0.056441598,0.08123181,0.050100304,0.10232879,0.013247242,0.061667617,0.061782543,0.03555688,0.20589781,0.03570953,0.05006194,0.053719454,,,0.02295849,0.11675115,0.0556813
quartz,0.68525517,-0.41597325,1.8687956,0.38512906,-0.87640655,-0.222126,-0.44132063,0.37635133,0.7167788,-0.14111647,0.05882353,0.05895949,0.21009862,0.057919804,0.056769192,0.07864854,0.033512972,0.06835991,0.07121757,0.046228547,0.034072056,0.0728824,0.007556247,0.02210029,0.07928952,0.05427525,0.03212843,0.22740631,0.035733256,0.058210704,0.04191808,0.053831942,0.15081821,0.035149075,0.11268238,0.12802039,0.011992701,0.031071119,0.011862232,0.011638973,0.06512473,0.025878314,0.03646004,0.042199317,0.0118343495,0.04596832,0.07663501,0.06343967,0.04854466,0.047582608,0.025555577,0.03422336,0.045168903,0.021430768,0.05296466,0.033421922,0.037553966,0.050376922,0.065085165,0.097721756,0.0557959,0.09028553,0.009529278,0.06918897,0.069321826,0.039909754,0.2316549,0.036185503,0.056459907,0.06006011,,,0.023714714,0.1344814,0.06755415
quartz,0.68525517,-0.41597325,1.8687956,0.38512906,-0.87640655,-0.222126,-0.44132063,0.37635133,0.7167788,-0.14111647,0.02745098,0.0996684,0.42044252,0.14715049,0.10745133,0.14192304,0.24021055,0.12503211,0.13344632,0.085820235,0.24563947,0.13891275,0.009366252,0.045062684,0.055843692,0.063248105,0.06478064,0.2928501,0.1926305,0.09877761,0.086885065,0.097264744,0.15824714,0.1047052,0.16548313,0.20275763,0.040503178,0.1771768,0.024205582,0.023404388,0.11370781,0.040990956,0.10511575,0.0989319,0.023170372,0.04062434,0.08773896,0.10563864,0.0976544,0.099922255,0.040777475,0.10508097,0.09470651,0.04208651,0.09746169,0.10391542,0.11647321,0.108647935,0.14539261,0.2160236,0.11105981,0.029135281,0.002235978,0.14258163,0.1423574,0.08316594,0.4674981,0.1967039,0.11643063,0.11480793,,,0.020028122,0.13654144,0.09108146
quartz,0.68525517,-0.41597325,1.8687956,0.38512906,-0.87640655,-0.222126,-0.44132063,0.37635133,0.7167788,-0.14111647,0.011764706,0.18990435,0.80412805,0.25041392,0.20897011,0.2784747,0.32298023,0.2425177,0.25871864,0.16098516,0.3260532,0.26965103,0.008273024,0.0895192,0.12568383,0.133331,0.12700562,0.37330395,0.3055507,0.19113417,0.18338725,0.18852748,0.26450804,0.20470554,0.26322582,0.28880838,0.062706,0.2819955,0.0452372,0.04431451,0.22871998,0.08295993,0.21008357,0.1751159,0.045789305,0.09194168,0.15248555,0.20211299,0.1882536,0.19632502,0.0809758,0.1831102,0.18164818,0.0769328,0.18058792,0.17859073,0.22643557,0.21025677,0.27677512,0.3145265,0.21148267,0.03407576,0.005191778,0.27886957,0.27294004,0.16597123,0.89926475,0.29431668,0.22584815,0.23379184,,,0.04071794,0.27435595,0.17766593
