machine,app,ranks,PAPI_BR_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_TOT_INS,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,EPT,FP_ARITH:SCALAR_SINGLE,FP_ARITH:SCALAR_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,PAPI_MEM_WCY,duration
quartz,laghos,32,52785375000,84759375000,29436625000,2.30487E+11,221062500,118437500,38562500,27000000,0,11360.375,2996194010,14937098213,69842.90625,2108376.25,2610500000,1.0333
quartz,laghos,1,43964000000,1.46336E+11,48924000000,4.31188E+11,1494000000,1732000000,80000000,72000000,0,6993352,95305056532,69973653799,37771,2240843,7534000000,1.2
quartz,laghos,32,53084375000,85247125000,29588687500,2.31767E+11,221375000,119187500,38812500,26937500,0,11563.875,2995708540,14524503247,69873.9375,2108375.313,2600562500,1.0333
quartz,laghos,1,49292000000,1.64086E+11,54858000000,4.83508E+11,1666000000,1944000000,80000000,88000000,0,7837567,1.0687E+11,78551812364,37771,2249202,9088000000,1.3833
quartz,laghos,32,58548062500,94070312500,32692687500,2.55829E+11,247937500,131250000,43250000,30250000,0,11717.75,3359517259,16187868207,69843.875,2108635.594,3008937500,1.15
quartz,laghos,1,49312000000,1.641E+11,54870000000,4.8352E+11,1664000000,1944000000,78000000,72000000,0,7837189,1.06871E+11,78542752735,37771,2249202,8332000000,1.35
quartz,laghos,32,58193375000,93528687500,32519437500,2.54382E+11,247937500,136687500,43000000,30437500,0,11544,3359651945,16713930298,69843.875,2108635.594,2950562500,1.15
quartz,laghos,1,55010000000,1.8308E+11,61218000000,5.39434E+11,1722000000,2170000000,90000000,82000000,0,8728818,1.19065E+11,87395861298,37771,2258117,9440000000,1.5
quartz,laghos,32,65882500000,1.0579E+11,36747562500,2.87705E+11,277250000,150750000,48937500,34062500,0,11845.71875,3746125996,17944072762,69842.90625,2108917.969,3283750000,1.2833
quartz,laghos,1,54990000000,1.8307E+11,61214000000,5.39412E+11,1754000000,2168000000,128000000,96000000,0,8727180,1.19064E+11,87556119460,37771,2258118,9302000000,1.5
quartz,laghos,32,66125062500,1.06197E+11,36863250000,2.88718E+11,274625000,148937500,48312500,33625000,0,11488.71875,3745715101,18541998563,69874.90625,2108918.969,3303875000,1.2666
quartz,laghos,1,72274000000,2.40576E+11,80442000000,7.08862E+11,2392000000,2850000000,116000000,102000000,0,11482814,1.56646E+11,1.15099E+11,37771,2285302,12154000000,1.9666
quartz,laghos,32,84884687500,1.36387E+11,47357500000,3.70784E+11,354625000,190812500,62625000,44562500,0,11193.125,4928548951,24488283829,69874.90625,2109753.25,4275187500,1.65
quartz,laghos,1,72260000000,2.40568E+11,80436000000,7.08856E+11,2384000000,2848000000,132000000,130000000,0,11483660,1.56648E+11,1.14991E+11,37771,2285304,12330000000,2
quartz,laghos,32,85841750000,1.37817E+11,47841312500,3.74724E+11,364125000,196187500,63812500,44750000,0,11400,4838677680,23702947221,69875.875,2109753.281,4288687500,1.6166
quartz,laghos,1,83436000000,2.77654E+11,92846000000,8.18162E+11,2710000000,3292000000,182000000,146000000,0,13257360,1.80772E+11,1.32827E+11,37771,2302598,14140000000,2.3166
quartz,laghos,32,99429250000,1.59745E+11,55486625000,4.34351E+11,413687500,224000000,73437500,51375000,0,11470.15625,5691268368,27783427292,69875.875,2110247.406,4918625000,1.85
quartz,laghos,1,83376000000,2.77618E+11,92822000000,8.1811E+11,2714000000,3290000000,128000000,116000000,0,13252974,1.80772E+11,1.32823E+11,37771,2302599,14426000000,2.3666
quartz,laghos,32,99693812500,1.60112E+11,55626062500,4.35452E+11,421562500,228187500,73250000,52062500,0,11338.625,5691152047,28195245069,69875.875,2110247.406,4972000000,1.9
quartz,laghos,1,93430000000,3.1108E+11,1.04006E+11,9.16736E+11,3024000000,3688000000,134000000,138000000,0,14852424,2.02572E+11,1.48869E+11,37771,2318277,15916000000,2.5833
quartz,laghos,32,1.07126E+11,1.72329E+11,59961562500,4.68707E+11,464062500,252562500,81437500,57750000,0,11344.28125,6283262191,30743430872,69843.875,2110786.531,5667937500,1.9833
quartz,laghos,1,93462000000,3.11102E+11,1.04026E+11,9.16756E+11,3026000000,3686000000,140000000,134000000,0,14852316,2.02572E+11,1.48842E+11,37771,2318278,16520000000,2.55
