Weighted,,,,
"AdaBoost,0.020857923187928683,0.014621467451073239","AdaBoost,0.02032948562931961,0.014952814816038109","AdaBoost,0.019685159151808917,0.013924420462805152","AdaBoost,0.020550660100141397,0.014807982214674654","AdaBoost,0.025653645491506366,0.018059280321835857"
"Bagging,0.04280259207935125,0.03104505141647394","Bagging,0.0511565193724028,0.03717512714341697","Bagging,0.05123190744492312,0.0382534960728105","Bagging,0.05121612063886648,0.03786202184519813","Bagging,0.06408645572622632,0.047026419708477894"
"DecisionTree,0.023198095637772136,0.013412214880550489","DecisionTree,0.030693508292076253,0.013515111871311186","DecisionTree,0.02700579888082467,0.012400627860731026","DecisionTree,0.02322745414250097,0.013587444724164172","DecisionTree,0.03643836609749833,0.01885309153401"
"random_forrest,0.014710050295085788,0.009585672453311506","random_forrest,0.0161489671322281,0.011957779863158786","random_forrest,0.016027972950055966,0.01177546376808603","random_forrest,0.014688651030387297,0.009479086835252398","random_forrest,0.020963692003434137,0.015449445685241443"
"XGBoost,0.010730577544421107,0.010207466304842299","XGBoost,0.013738560986696968,0.01216963286717625","XGBoost,0.013433275278080265,0.012045980963332006","XGBoost,0.010867272401932448,0.010531724150622396","XGBoost,0.01657475314840056,0.015144146067317702"
,,,,
,,,,
Variance,,,,
"AdaBoost,0.020857923187928683,0.014732370853448914","AdaBoost,0.02032948562931961,0.014996691621111466","AdaBoost,0.019685159151808917,0.013981408657663586","AdaBoost,0.020550660100141397,0.014805223862193457","AdaBoost,0.025653645491506366,0.018029371699387224"
"Bagging,0.04280259207935125,0.034334460092472666","Bagging,0.0511565193724028,0.03968461680453322","Bagging,0.05123190744492312,0.040443780878460595","Bagging,0.05121612063886648,0.04035719151339492","Bagging,0.06408645572622632,0.05005428386357179"
"DecisionTree,0.5530599923357797,0.02950694368317903","DecisionTree,0.5848106521801321,0.037532671171650774","DecisionTree,0.5675288666316869,0.03340745163324603","DecisionTree,0.5568307836604902,0.029204022680425358","DecisionTree,0.5360051826864057,0.042843772089734375"
"random_forrest,0.009590163644953126,0.009626686009692142","random_forrest,0.013617036786248128,0.011109352256208242","random_forrest,0.01254347733156043,0.010381347624638238","random_forrest,0.00971828427902808,0.009826971174409765","random_forrest,0.016809506995401468,0.015022233780609703"
"XGBoost,0.01107088832571612,0.009911687826934868","XGBoost,0.013318955029655435,0.01137965220439668","XGBoost,0.013142034109063713,0.011454594049282145","XGBoost,0.011337522564993683,0.010364497721367855","XGBoost,0.016645824280848202,0.014640182665449884"
,,,,
Normal,,,,
"AdaBoost,0.2611886255296981,0.12851460324247793","AdaBoost,0.2888309872523736,0.13614391533149955","AdaBoost,0.2834705107932195,0.13955790891915648","AdaBoost,0.2737374687728117,0.14814709733362297","AdaBoost,0.25982178019559266,0.10429481789992559"
"Bagging,0.26208767987137155,0.1205210090648233","Bagging,0.29036971671003575,0.11960629258845776","Bagging,0.2831520763547262,0.13162276008821988","Bagging,0.27541814789381075,0.13068249498198534","Bagging,0.25730381304705413,0.0990614797526601"
"DecisionTree,0.19843314367795417,0.12521207410381038","DecisionTree,0.20642931142671134,0.1337805624804292","DecisionTree,0.21186867109357627,0.1371919506850381","DecisionTree,0.1830765027608043,0.14525707863756435","DecisionTree,0.1825641366737423,0.10274659105014342"
"random_forrest,0.22981430422024368,0.1255186244775589","random_forrest,0.2516794808103235,0.13117337574472857","random_forrest,0.24748050059575724,0.13634260345399088","random_forrest,0.23416730771080282,0.14212152269429326","random_forrest,0.22289897093359465,0.10337661972183446"
"XGBoost,0.2140333265940377,0.12905370913844696","XGBoost,0.23271543728492156,0.12845323366427142","XGBoost,0.23127261135222446,0.1403258607955938","XGBoost,0.21761868014004399,0.1401005232429713","XGBoost,0.20534339857689252,0.10685792717105436"
